"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"d5b34ac7925dbf36ebd52d721f778600",3.9752347126247,1.97017702142282,0.425827814108523,4.62669876449339,3.71540292788363e-06,0.000161387814679945,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"2ac527f0c2e5c1c353302719df762b41",3.30722963143342,1.68608185459743,0.385804333412577,4.37030304891455,1.24074220341357e-05,0.000453850437564439,"Bacteria","Chloroflexi","Dehalococcoidia","S085","uncultured bacterium 5G4","uncultured bacterium 5G4","uncultured bacterium 5G4"
"69f14e62dd5ecf16fb75224ef3aec1a0",2.4064808637064,1.59745592611453,0.386292165368408,4.13535678258199,3.54403585441146e-05,0.000985241967526385,"Bacteria","Chloroflexi","KD4-96","bacterium Ellin6529","bacterium Ellin6529","bacterium Ellin6529","bacterium Ellin6529"
"c1442e06ba8b8142801cea6079095f96",3.56559028438735,2.27461369530199,0.453577625010498,5.01482782632707,5.30809765373037e-07,3.68912786934261e-05,"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured bacterium"
"4743c1c4700cfbfa21f05dc7ee7143fb",4.67760914977926,2.03750369779678,0.461116256673662,4.41863341035652,9.93269598619375e-06,0.00040607198296498,"Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45",NA,NA
"f1a743e9b7d119f6822b22a69cadf8e4",3.64718798862498,1.81212129679718,0.427490108121394,4.23897831171005,2.24539347549597e-05,0.000678499332812912,"Bacteria","Rokubacteria","NC10","Rokubacteriales","uncultured candidate division SPAM bacterium","uncultured candidate division SPAM bacterium","uncultured candidate division SPAM bacterium"
"54275fed0a52eb81bb8d7e50e8ef7c4f",12.0423736921536,4.05655499023289,0.619284657871843,6.55038832089453,5.73876599022742e-11,1.69974109024208e-08,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Siphonobacter",NA
"82602f53725970c69e0ac88ce6a1a26c",2.37415195380521,1.86873467501809,0.432600551032407,4.31976952076999,1.56192242729509e-05,0.000542768043485045,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma","Spirosoma oryzae"
"b46a90515acc7525942d42e2bfe8f973",5.55927145934275,1.81761577522102,0.436241530536158,4.16653538920767,3.09263901428162e-05,0.000895576714552384,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA
"0cbc58cb660d1cd9dab0af3d8f6b37f5",13.5458830395056,2.53265448290806,0.57507167089208,4.40406754688381,1.06239839958905e-05,0.000410203826507995,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Micromonospora",NA
"24fe8d3a3120807600557bfc4575f770",7.80383658469785,2.16924476727403,0.4653290913509,4.66174328576037,3.13542138535815e-06,0.000155651275915994,"Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae",NA,NA
"3f60c76f601f7227c9027491c1afbeb9",6.61322210852718,3.55140367735899,0.562253899481838,6.3163700254136,2.67778457079136e-10,4.65265069174998e-08,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"a89beb9e0ba695bd5d0c6656ec39125b",7.13477600888846,2.2512282595412,0.522507429353749,4.30850956956837,1.64358366400638e-05,0.000543947926897348,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella",NA
"7357332784b8b4fecadb5acbd4d19216",4.85918104845965,2.49358961009848,0.48308533382541,5.16179944928669,2.44587248051803e-07,1.88875708217781e-05,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14",NA,NA
"4ddb41575be277d8433008d72bfef998",24.2755545153542,2.75588734619898,0.556984537225918,4.94787047397182,7.50298071749026e-07,4.74051963514157e-05,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","uncultured",NA,NA
"a8c1aadd32f4aa24a5b6fabef0056241",6.78274446734377,-2.07346647649341,0.396517670719131,-5.22919060008836,1.70253770815097e-07,1.47907963395615e-05,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"2f3d80e5825933952f17c0e61c66bcc2",1.87881368341674,-1.42100823020961,0.289275560348648,-4.91229963740092,9.00143499863701e-07,5.21333110337727e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella",NA
"89a095d1d3373924a634fabb9ae2610f",5.14756147976303,-2.35868537898358,0.446402877247909,-5.28375935550633,1.2655947650521e-07,1.25655480244458e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae",NA,NA
"e81b5983e6fd76a4969ff7f2ab1bd03a",3.50476905447696,2.07536224726799,0.444871196481071,4.66508567802119,3.08488475917903e-06,0.000155651275915994,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA
"175ba2f0dfd211130a56284a517bf9d9",40.6739718453818,4.17919010881227,0.66932866643823,6.24385345849811,4.26919993759588e-10,5.93418791325827e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"9fad27474da0aace8ddede12ebdba2ea",74.636426236638,4.46096292108718,0.684868901777331,6.51360123011916,7.33701190032552e-11,1.69974109024208e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"5127e04dde682b013e8923c854134898",12.0144890343385,3.4751843733046,0.612744704039567,5.67150454405264,1.41548846482568e-08,1.63960747175642e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"dab53cce3770c32f14d48e23bd07a64e",3.34552637314132,-1.64029049816731,0.386756050885825,-4.24115018862768,2.22377265506662e-05,0.000678499332812912,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"f966c80f5f419156fef1277a775b72da",8.07801053059709,2.22042578527343,0.478026008005906,4.64498949447537,3.4009376083805e-06,0.000157576775854963,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured",NA
"2f276f6e58e6818619ed2717ab67200f",6.82045859426363,3.69872550351119,0.55110735167732,6.71144286544892,1.92709249912775e-11,1.33932928689379e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
