"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"c77612d0cea78a7761e05637d8be4bec",4.95526431722942,1.12867587069815,0.241806966195881,4.66767309666273,3.04630076922587e-06,0.000111430475505894,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"d5b34ac7925dbf36ebd52d721f778600",3.9752347126247,-1.01743874451845,0.235824960323715,-4.31438106942464,1.60050666801733e-05,0.000347610041960014,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"f902947e368d991a7efdc0f90870e219",4.39161877790938,-0.895811141180104,0.213564480100878,-4.19456990580533,2.7338983023029e-05,0.00047501483002513,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","Acidobacteria bacterium AB60"
"09842a93670750b1ebe07520e1b204d3",7.36600611629203,-1.07914041026017,0.26201060445898,-4.11868982359881,3.8103262036658e-05,0.000546168244019993,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"7b0016eafac53cffe9809626d3d7d7f7",5.42180640168542,-1.03622673211483,0.242256768665483,-4.27739021626964,1.89097162394203e-05,0.000368808080128102,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
"82602f53725970c69e0ac88ce6a1a26c",2.37415195380521,-1.45685890791836,0.24128967095227,-6.03780054972409,1.56228996974344e-09,1.16582648817578e-07,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma","Spirosoma oryzae"
"ee5ed45abe3ff2a799b0aa0ddbd8327d",11.1991624061254,-1.83594258146121,0.339625507100559,-5.40578532258947,6.45250438724693e-08,3.20320753509758e-06,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
"7f44f5eec82e21c0acafd231aff4611b",1.87466435079614,0.944998136504745,0.200808875032848,4.70595802277246,2.52676511627566e-06,9.7561208656199e-05,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA
"9fe11a5717148d08bb02bc98cfba737b",2.07954640858814,0.755406710910732,0.18885126518698,4.00000873789652,6.33401449177836e-05,0.000800389103961084,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pir4 lineage",NA
"0438e2b82b025da1d117bfec1924fe75",3.45270726584485,-1.02454664035851,0.224118367286987,-4.5714532582087,4.84353337648217e-06,0.000134064811099109,"Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae",NA,NA
"106a8da07ec9c50d25986886beaa33dd",4.39394275293754,-1.12254968817967,0.230315564017443,-4.87396365490374,1.09381121922392e-06,4.47175763153308e-05,"Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata","Gemmata-like str. CJuql4"
