"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"b81b44fa9c290fb7797fdd7b34cbabf5",14.3619674239854,-2.72018037735259,0.358876211399445,-7.5797177158809,3.46307609583658e-14,1.38899465148228e-13,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","uncultured archaeon"
"404ba346f82cba6901e1ab750ba137c6",2.24351618704462,-0.954537221479004,0.257610514809274,-3.70535038985389,0.000211098704959078,0.00045956001256578,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"4fce50300689cd05b738957e24dd7942",25.1710529049904,-2.193606246142,0.347397086090941,-6.31440600387696,2.71201096526762e-10,8.48078005240469e-10,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"c77612d0cea78a7761e05637d8be4bec",4.95526431722942,-1.15015510388699,0.300890799318514,-3.82250007807473,0.000132105436781237,0.00029016015578736,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"4cb45925222e0a6a4ece9ee2096f59ef",14.3632618055392,1.17707125720947,0.32896073809467,3.57815119222747,0.000346033274350096,0.000744526403703704,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus",NA
"c26ab41a98da234b363570ee469fe811",22.1974772389745,-2.5555835545545,0.345166708391578,-7.40391089993329,1.32231163666609e-13,5.10924600973601e-13,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"d5b34ac7925dbf36ebd52d721f778600",3.9752347126247,-2.23329752791567,0.297433793276101,-7.50855342735905,5.97842872510542e-14,2.35940128295604e-13,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"96a620a587aac252ba6f34d71a2c1622",47.1850958808258,-5.19802262080913,0.389604799841164,-13.34178280896,1.32258261510464e-40,1.6267766165787e-39,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"496f4479dfac22ddc35e5728f0c976c6",23.3305616379833,-3.06049150634631,0.362392463516779,-8.44524049050653,3.03420159780074e-17,1.45405245401101e-16,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41",NA
"07a314b6d204d004a53ada9a9babacaf",9.07195888983899,-2.89305640123919,0.311875755101635,-9.27631069076337,1.75448461650453e-20,9.66275855955482e-20,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"0e1740453f61fc5bda28913b0f7ec2e4",3.93474264605898,-1.66540198196183,0.25586667246974,-6.50886637906619,7.57200373778402e-11,2.45093805196693e-10,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter",NA
"f902947e368d991a7efdc0f90870e219",4.39161877790938,-2.28099501040708,0.265335503587867,-8.59664454836785,8.20807202670078e-18,4.09294402412512e-17,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","Acidobacteria bacterium AB60"
"09842a93670750b1ebe07520e1b204d3",7.36600611629203,-1.15413331901354,0.295675616226215,-3.90337672664405,9.48598754525131e-05,0.000211500266114667,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Acidipila",NA
"1d08869c0faffa411fdea44ec2158978",2.86433193848784,-1.51345707518655,0.251833348926346,-6.00975637912513,1.8580231937954e-09,5.55150249806075e-09,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Granulicella","bacterium enrichment culture clone auto193_4W"
"0ecbb5e30e696e08dc731ca491c4e982",4.24037528867708,-1.9405838833998,0.2445239694895,-7.9361703781074,2.08519522906516e-15,8.94694232005864e-15,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Acidobacteriales bacterium"
"93aebb0c27f8841a5a91b72facb8cc70",27.6113943090433,-4.97765647364381,0.290089978745561,-17.1590087157397,5.38244858572163e-66,1.89154621726789e-64,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus Koribacter",NA
"9fe00ec9058203bc71317a839bb2ca15",4.66208036762738,-2.2696815725148,0.269380674990647,-8.42555455246966,3.59045652100284e-17,1.70952058870974e-16,"Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","uncultured",NA,NA
"c27cddd00581086c6392c202f5acab81",2.71306903058943,-1.05979479451617,0.261855487901772,-4.04725065343569,5.18227390424736e-05,0.000118406134406643,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
"90f5b435825e3eec634c9b21900501a7",2.47718801689246,-1.63059300591684,0.250335483709254,-6.51363115510486,7.33554963735741e-11,2.39541399662379e-10,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
"7b0016eafac53cffe9809626d3d7d7f7",5.42180640168542,-2.78288870562192,0.28578947578237,-9.73754788556701,2.08525307662247e-22,1.31531347910033e-21,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae (Subgroup 3)","Candidatus Solibacter",NA
"2eb68c719abf8bc385cb19d6bb08af60",1.56831093770076,-0.872611691220312,0.216481222969236,-4.03088858817247,5.5566379812669e-05,0.000126567865128857,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"2ac527f0c2e5c1c353302719df762b41",3.30722963143342,-1.85065056789472,0.255479079525032,-7.2438438847334,4.36143428493223e-13,1.61745653380904e-12,"Bacteria","Chloroflexi","Dehalococcoidia","S085","uncultured bacterium 5G4","uncultured bacterium 5G4","uncultured bacterium 5G4"
