"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"E1.1.1.1, adh; alcohol dehydrogenase "	200.293634329174	0.213571608025056	0.053247949532873	4.01088886799681	6.04905801536107e-05	0.000179036939273259	"E1.1.1.1, adh; alcohol dehydrogenase "
"dalD; D-arabinitol 4-dehydrogenase "	9.09791026752363	-2.06923294890935	0.36477302715661	-5.67265887239231	1.40598026733439e-08	7.23696388513395e-08	"dalD; D-arabinitol 4-dehydrogenase "
"gyaR, GOR1; glyoxylate reductase "	102.266449569799	0.532414116393665	0.0791463458906324	6.72695764286295	1.7324714502521e-11	1.46188574535431e-10	"gyaR, GOR1; glyoxylate reductase "
"gdh; glucose 1-dehydrogenase "	59.3955724997775	0.924059528391624	0.156692632095271	5.89727491353762	3.69553870903818e-09	2.10716416622096e-08	"gdh; glucose 1-dehydrogenase "
"gal; D-galactose 1-dehydrogenase "	19.1335004347987	1.8118193535907	0.196706384943328	9.21078059623073	3.23761803845533e-20	8.52622945755074e-19	"gal; D-galactose 1-dehydrogenase "
"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase "	256.531300256234	-0.16659430738168	0.0450177580425069	-3.70063536314664	0.000215060321504038	0.000586546984757161	"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase "
"rbtD; ribitol 2-dehydrogenase "	10.5621592653392	-1.68092834612042	0.345857574363912	-4.86017502786205	1.17282016397224e-06	4.52659016251591e-06	"rbtD; ribitol 2-dehydrogenase "
"uxaB; tagaturonate reductase "	8.84933394663648	-1.38111356661122	0.215531037206265	-6.40795675886569	1.47482720753615e-10	1.08307025279763e-09	"uxaB; tagaturonate reductase "
"garR, glxR; 2-hydroxy-3-oxopropionate reductase "	83.6747244441322	-0.417771933843097	0.106386848974264	-3.92691331561252	8.60429736083811e-05	0.000247422710294898	"garR, glxR; 2-hydroxy-3-oxopropionate reductase "
"E1.1.1.67, mtlK; mannitol 2-dehydrogenase "	26.9530176097807	1.23509718009566	0.207238438579693	5.95978809993161	2.52565219843768e-09	1.46970634610011e-08	"E1.1.1.67, mtlK; mannitol 2-dehydrogenase "
"mvaA; hydroxymethylglutaryl-CoA reductase "	13.7021264630976	-0.778741566445183	0.201215523219535	-3.87018632551298	0.000108752203066955	0.000308494475834219	"mvaA; hydroxymethylglutaryl-CoA reductase "
"fabG; 3-oxoacyl-"	1424.96420636776	0.151902547378606	0.032693129822012	4.64631401782557	3.37918500928268e-06	1.20106374906206e-05	"fabG; 3-oxoacyl-"
"tdh; threonine 3-dehydrogenase "	52.9358140838977	0.316289714869917	0.0844491040812614	3.74532943020409	0.000180157216393539	0.000496616435842365	"tdh; threonine 3-dehydrogenase "
"E1.1.1.122; D-threo-aldose 1-dehydrogenase "	63.3806931649429	1.16633243286274	0.154453419840029	7.55135389084129	4.30756607594788e-14	4.94714789493244e-13	"E1.1.1.122; D-threo-aldose 1-dehydrogenase "
"kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase "	76.6129242706233	0.802961396291572	0.091605869433258	8.76539244984287	1.86127141589342e-18	3.86026328087493e-17	"kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase "
"allD; ureidoglycolate dehydrogenase (NAD+) "	2.70494945797879	-1.58367835623308	0.325338458169757	-4.86778711973468	1.12854800628164e-06	4.36166471779291e-06	"allD; ureidoglycolate dehydrogenase (NAD+) "
"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase "	262.655452348207	-0.405249293123773	0.0850543387742849	-4.76459283516639	1.89235378153597e-06	7.05830507974747e-06	"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase "
"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase "	18.3643056209733	-1.28145973681252	0.336558418441952	-3.80754028600697	0.000140355879750892	0.000392248268089609	"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase "
"E1.1.1.219; dihydroflavonol-4-reductase "	78.5910949307834	0.426280129334664	0.0903878216905117	4.71612349276708	2.4038056658556e-06	8.81499202077359e-06	"E1.1.1.219; dihydroflavonol-4-reductase "
"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase "	225.542097364703	0.325517590372486	0.0394976417466929	8.24144369074239	1.70145004611348e-16	2.624961896756e-15	"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase "
"glpA, glpD; glycerol-3-phosphate dehydrogenase "	219.020825317989	-0.315623676494383	0.0498566848995754	-6.33061899583041	2.4417961811813e-10	1.64197743204852e-09	"glpA, glpD; glycerol-3-phosphate dehydrogenase "
"glpC; glycerol-3-phosphate dehydrogenase subunit C "	12.8132732384106	0.71611675377096	0.150098670311816	4.77097333562843	1.83337812073005e-06	6.85639822957303e-06	"glpC; glycerol-3-phosphate dehydrogenase subunit C "
"exaA; alcohol dehydrogenase (cytochrome c) "	101.067200207175	1.74974894128894	0.138485289181363	12.6349083836438	1.35551940883625e-36	1.50489233192762e-34	"exaA; alcohol dehydrogenase (cytochrome c) "
