"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"alpha-Linolenic acid metabolism"	385.312585696436	0.526244441910338	0.127078017008123	4.14111310752276	3.45624464415338e-05	0.000627441335400153	"alpha-Linolenic acid metabolism"
"Aminobenzoate degradation"	2815.83417546229	0.312944493644221	0.07537662846904	4.15174438019285	3.29950680208622e-05	0.000627441335400153	"Aminobenzoate degradation"
"Apoptosis"	77.628398956319	1.3171438990789	0.296465072487907	4.44282993617274	8.87833397112643e-06	0.00040141661316652	"Apoptosis"
"Electron transfer carriers"	147.466516033334	-0.725193091887458	0.169489607244358	-4.27868766514945	1.87998447103128e-05	0.000554595418954227	"Electron transfer carriers"
"Ether lipid metabolism"	255.462523375809	0.706110598676071	0.154219855046603	4.57859721410512	4.6810460021703e-06	0.000368242285504064	"Ether lipid metabolism"
"Ethylbenzene degradation"	697.741356250284	0.482324657696805	0.108530196618145	4.44415169903198	8.82393302249446e-06	0.00040141661316652	"Ethylbenzene degradation"
"Lipid metabolism"	1155.89331579555	0.390071438112495	0.0947053049649341	4.11879184863957	3.80863982389541e-05	0.000642027856028083	"Lipid metabolism"
"Others"	5716.09618544388	0.138547219926817	0.0345182131860723	4.01374251847774	5.97635377792504e-05	0.000940279661060206	"Others"
"Oxidative phosphorylation"	12394.9163675766	-0.104970660174615	0.0214106448574713	-4.90273230317887	9.45127431634729e-07	0.000223050073865796	"Oxidative phosphorylation"
"Phosphonate and phosphinate metabolism"	455.219514064748	0.465622270271176	0.106323585195271	4.37929429689592	1.19064249668036e-05	0.00040141661316652	"Phosphonate and phosphinate metabolism"
"Photosynthesis"	2535.92276940148	-0.191478175656413	0.0460899394175476	-4.15444624306694	3.26076263532599e-05	0.000627441335400153	"Photosynthesis"
"Photosynthesis proteins"	2697.98057000184	-0.200771807733958	0.0456384026115224	-4.39918569111506	1.08657824229038e-05	0.00040141661316652	"Photosynthesis proteins"
"Pores ion channels"	3534.38686380731	0.276526949017169	0.0584831238123828	4.72832042803123	2.26384718450916e-06	0.000267133967772081	"Pores ion channels"
"Protein kinases"	4085.76042356857	0.356105483754038	0.0846279518277248	4.20789439024773	2.57761275305198e-05	0.000627441335400153	"Protein kinases"
"Ribosome"	15844.6970783917	-0.17199391013372	0.0411511187375578	-4.17956826959225	2.92063033823259e-05	0.000627441335400153	"Ribosome"
