"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"dalD; D-arabinitol 4-dehydrogenase "	69.9810521253092	3.40538043402191	0.563675391865601	6.04138566835621	1.52796261375639e-09	3.9912238476689e-07	"dalD; D-arabinitol 4-dehydrogenase "
"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "	209.552230595761	0.880453886342702	0.213325822824426	4.12727289498067	3.6709067005539e-05	0.000486060201080641	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "
"phbB; acetoacetyl-CoA reductase "	170.217809230367	1.12687183961972	0.251068441317899	4.48830539475448	7.17919631042355e-06	0.000121710860814096	"phbB; acetoacetyl-CoA reductase "
"E1.1.1.43; phosphogluconate 2-dehydrogenase "	20.7274894585878	2.54070861887449	0.470308951254628	5.40221191218395	6.58241210097094e-08	2.32607056191454e-06	"E1.1.1.43; phosphogluconate 2-dehydrogenase "
"panE, apbA; 2-dehydropantoate 2-reductase "	370.93388437746	0.725880234211191	0.181756056192373	3.99370590129283	6.50485398322106e-05	0.000793716462849096	"panE, apbA; 2-dehydropantoate 2-reductase "
"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase "	94.8016223472288	2.46226685234081	0.461501351606576	5.33534050067065	9.53654266811173e-08	2.99987660114821e-06	"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase "
"mqo; malate dehydrogenase (quinone) "	98.0933630197599	2.0917636996023	0.385072660485114	5.4321272690902	5.56861824515401e-08	2.04759597906271e-06	"mqo; malate dehydrogenase (quinone) "
"fdoG, fdhF, fdwA; formate dehydrogenase major subunit "	347.169488483814	1.02697251113037	0.248313691651001	4.13578689238674	3.53740361655639e-05	0.000472986498312036	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit "
"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"	193.292421766937	1.09984714506384	0.26657779517839	4.12580179203536	3.69445356710232e-05	0.000487447420990253	"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
"fdoI, fdsG; formate dehydrogenase subunit gamma"	160.225026055365	1.35445213120406	0.298178342399825	4.54242290135173	5.56113379327217e-06	9.69990067403435e-05	"fdoI, fdsG; formate dehydrogenase subunit gamma"
"aldB; aldehyde dehydrogenase "	151.979796621247	1.53271167405475	0.278194311478388	5.50950041325277	3.59853550092115e-08	1.65678693472762e-06	"aldB; aldehyde dehydrogenase "
"xylC; benzaldehyde dehydrogenase (NAD) "	76.0085433885485	1.40559104061924	0.355010949038822	3.95928926818967	7.51731416447034e-05	0.000887067788036894	"xylC; benzaldehyde dehydrogenase (NAD) "
"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase "	20.4521627965102	1.18767202947565	0.283246941147651	4.19306215510562	2.75213996564235e-05	0.000384029376744248	"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase "
"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit "	81.3421439774141	2.52560061412616	0.481837817811116	5.24159897950604	1.59191046089381e-07	4.4451776732785e-06	"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit "
"mbtN, fadE14; acyl-ACP dehydrogenase "	897.617792347083	0.980186122827675	0.220889935466164	4.43744130197286	9.10345353313737e-06	0.000148326329722556	"mbtN, fadE14; acyl-ACP dehydrogenase "
"E1.7.1.7, guaC; GMP reductase "	22.9984180508806	1.9852704416389	0.483047795539592	4.1098840735237	3.95857796953288e-05	0.000519098344824046	"E1.7.1.7, guaC; GMP reductase "
"K00375; GntR family transcriptional regulator / MocR family aminotransferase"	310.927005692988	0.911978814917587	0.193118066143022	4.72238995103743	2.33089220054801e-06	4.45077731767799e-05	"K00375; GntR family transcriptional regulator / MocR family aminotransferase"
"P4HA; prolyl 4-hydroxylase "	31.1748013766702	2.01598183830878	0.45873121984062	4.39469072763176	1.10930571130563e-05	0.000178604783459327	"P4HA; prolyl 4-hydroxylase "
"PHYH; phytanoyl-CoA hydroxylase "	44.239734086002	2.25953194348015	0.453611879296324	4.98120099276346	6.31908646681308e-07	1.35922800602359e-05	"PHYH; phytanoyl-CoA hydroxylase "
"pobA; p-hydroxybenzoate 3-monooxygenase "	123.920891737531	1.68249517302964	0.352992393333905	4.76637798661606	1.87567229114908e-06	3.61964844270684e-05	"pobA; p-hydroxybenzoate 3-monooxygenase "
"hpaC; flavin reductase (NADH) "	45.2410777882422	2.32250107101505	0.447382341238799	5.19131145092597	2.08817983173818e-07	5.48731811086823e-06	"hpaC; flavin reductase (NADH) "
"phhA, PAH; phenylalanine-4-hydroxylase "	103.913936589336	0.716476685549483	0.164598155794253	4.35288404108899	1.34358225147014e-05	0.000208312667022806	"phhA, PAH; phenylalanine-4-hydroxylase "
"fabB; 3-oxoacyl-"	230.266912295875	0.960987290830756	0.216399088655344	4.44081024925806	8.96207943674249e-06	0.000147974676802479	"fabB; 3-oxoacyl-"
"K00666; fatty-acyl-CoA synthase "	627.04995092233	0.88548738596394	0.21280427555163	4.16104133090645	3.16799739216088e-05	0.000433171904727123	"K00666; fatty-acyl-CoA synthase "
"bcsA; cellulose synthase (UDP-forming) "	107.208827739233	1.95027298380548	0.342179669765122	5.69955832017776	1.20118227690078e-08	9.67466689957353e-07	"bcsA; cellulose synthase (UDP-forming) "
"tyrB; aromatic-amino-acid transaminase "	134.35087797568	1.33682528500857	0.330044107672989	4.05044433131679	5.1120470456239e-05	0.000639534713155983	"tyrB; aromatic-amino-acid transaminase "
"E2.7.1.20, ADK; adenosine kinase "	107.672395837601	1.83266111104313	0.39559689846763	4.63264782444469	3.61018379591468e-06	6.48403307503884e-05	"E2.7.1.20, ADK; adenosine kinase "
"aceK; isocitrate dehydrogenase kinase/phosphatase "	26.8004195712666	1.61819317452586	0.396500258124946	4.0811907214848	4.48055694129785e-05	0.000576434772447822	"aceK; isocitrate dehydrogenase kinase/phosphatase "
"cysN; sulfate adenylyltransferase subunit 1 "	112.029835693059	1.09589030517939	0.259855873575463	4.21730049854399	2.47244396894373e-05	0.000350391668723744	"cysN; sulfate adenylyltransferase subunit 1 "
"tagD; glycerol-3-phosphate cytidylyltransferase "	14.9681439149686	1.39766362566137	0.314944352969172	4.43781135456072	9.08782113689368e-06	0.000148326329722556	"tagD; glycerol-3-phosphate cytidylyltransferase "
"pps, ppsA; pyruvate, water dikinase "	169.207758696838	1.00604764648431	0.246917372766669	4.07443038621266	4.61271080813132e-05	0.000589257563799312	"pps, ppsA; pyruvate, water dikinase "
"E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B "	134.02856064689	0.680738259366744	0.160932799330369	4.22995350978329	2.33739612265283e-05	0.000336510838610494	"E2.8.3.5B, scoB; 3-oxoacid CoA-transferase subunit B "
"pcaI; 3-oxoadipate CoA-transferase, alpha subunit "	91.3975332823942	2.16820369962578	0.434703905126932	4.98777138657789	6.10797850419185e-07	1.32428761035108e-05	"pcaI; 3-oxoadipate CoA-transferase, alpha subunit "
"lip, TGL2; triacylglycerol lipase "	29.3398499897361	1.73530459802364	0.334323319379973	5.19049823159775	2.09732114491105e-07	5.48731811086823e-06	"lip, TGL2; triacylglycerol lipase "
"pcaD; 3-oxoadipate enol-lactonase "	247.170311488659	1.48293328243076	0.300803008331675	4.9299150651965	8.22653748906095e-07	1.71528034542029e-05	"pcaD; 3-oxoadipate enol-lactonase "
"pldA; phospholipase A1/A2 "	24.2126262430037	1.90768600482175	0.453019563219665	4.21104552585675	2.54191508861829e-05	0.000359301348370409	"pldA; phospholipase A1/A2 "
"E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase "	94.199392421359	1.39610433488291	0.347258311896093	4.020362614965	5.81086290648072e-05	0.00071869808947882	"E3.1.2.23; 4-hydroxybenzoyl-CoA thioesterase "
"E3.1.3.5; 5-nucleotidase "	191.639845371492	1.137412078826	0.268650613367527	4.23379669440758	2.29778688240823e-05	0.000331685841221899	"E3.1.3.5; 5-nucleotidase "
"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase "	7.25934334069347	1.50915935148759	0.380503172333983	3.96622015588071	7.30214188937545e-05	0.000871452986008359	"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase "
"acpD, azoR; FMN-dependent NADH-azoreductase "	228.92527443416	1.10448012958875	0.258505811274951	4.27255435435456	1.93246427398152e-05	0.000284999202683129	"acpD, azoR; FMN-dependent NADH-azoreductase "
"cpdP; 3,5-cyclic-nucleotide phosphodiesterase "	24.4371913580015	2.44882964100119	0.415961248362682	5.88715812023438	3.92892786983437e-09	5.09076796848539e-07	"cpdP; 3,5-cyclic-nucleotide phosphodiesterase "
"sbcB, exoI; exodeoxyribonuclease I "	82.5048169777135	2.54120140738389	0.460657976053098	5.51646023619696	3.45895706348916e-08	1.65119687188667e-06	"sbcB, exoI; exodeoxyribonuclease I "
"rnb; exoribonuclease II "	89.9973718936397	2.21764009343104	0.406297188415655	5.45817238381262	4.81060496899864e-08	1.8727933158673e-06	"rnb; exoribonuclease II "
