"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"Adipocytokine signaling pathway"	847.867472481579	-0.26949824448157	0.0652212616963003	-4.13206119403938	3.5952466909807e-05	0.000169695643814289	"Adipocytokine signaling pathway"
"alpha-Linolenic acid metabolism"	385.312585696436	-0.703563117875524	0.11140513802914	-6.31535609867018	2.69540094445471e-10	7.06794025434791e-09	"alpha-Linolenic acid metabolism"
"Aminobenzoate degradation"	2815.83417546229	-0.328773403337658	0.0725086734862754	-4.53426310991456	5.7804936497511e-06	3.74015364175474e-05	"Aminobenzoate degradation"
"Basal transcription factors"	60.0748434114477	-1.01297938404137	0.222090416051312	-4.56111255069796	5.08832960822026e-06	3.43098796439995e-05	"Basal transcription factors"
"Betalain biosynthesis"	38.4519395950399	-0.980259805932843	0.227230431107834	-4.31394598493568	1.60366143848794e-05	8.78914349985726e-05	"Betalain biosynthesis"
"Biosynthesis of type II polyketide backbone"	6.83327281592811	1.92950339431712	0.432360757063835	4.46271629141459	8.0927172516707e-06	4.89713146511355e-05	"Biosynthesis of type II polyketide backbone"
"Biosynthesis of type II polyketide products"	10.7919601739975	-2.53323227089249	0.317667437954839	-7.97447886759052	1.53025124850951e-15	9.02848236620609e-14	"Biosynthesis of type II polyketide products"
"Butanoate metabolism"	7658.86805442853	-0.154296781297552	0.0349007450212524	-4.42101683513043	9.8237518794431e-06	5.79601360887143e-05	"Butanoate metabolism"
"Carbohydrate digestion and absorption"	42.4665314414798	-0.862249825924507	0.223016695481549	-3.86630168679835	0.000110498236917934	0.000482918220604303	"Carbohydrate digestion and absorption"
"Carbohydrate metabolism"	972.637773031391	-0.298291354791846	0.0638251753605582	-4.67356890297211	2.9601033365952e-06	2.11692238617111e-05	"Carbohydrate metabolism"
"Cell cycle - Caulobacter"	5352.19147168141	0.456656078658752	0.0508929309306841	8.97287836066497	2.88865028607647e-19	2.27240489171349e-17	"Cell cycle - Caulobacter"
"Chaperones and folding catalysts"	8313.49031932629	0.114876429252284	0.0210051705643064	5.46895960214154	4.52684902007263e-08	7.12224245824761e-07	"Chaperones and folding catalysts"
"Cyanoamino acid metabolism"	2174.20095718656	-0.231573840650497	0.0430381487926799	-5.38066453011296	7.42113768675004e-08	1.0302285259253e-06	"Cyanoamino acid metabolism"
"Cytochrome P450"	2.37549075199252	1.57177740640994	0.430330623160059	3.65248792862536	0.000259711808566244	0.000942953643409747	"Cytochrome P450"
"D-Arginine and D-ornithine metabolism"	146.364655601676	-0.471439132944006	0.109403595582731	-4.30917403064238	1.63865387285474e-05	8.78914349985726e-05	"D-Arginine and D-ornithine metabolism"
"D-Glutamine and D-glutamate metabolism"	948.19426209623	-0.159888249623846	0.0374710901366191	-4.26697619527202	1.98140292576996e-05	0.000103913575662602	"D-Glutamine and D-glutamate metabolism"
"Dioxin degradation"	443.440566839962	-0.585639462801584	0.142009537987059	-4.12394456811028	3.72438561964203e-05	0.00017234411886971	"Dioxin degradation"
"DNA repair and recombination proteins"	21335.975781184	0.0819770385364025	0.0163051891507553	5.02766559642181	4.96486692204462e-07	4.88211914001054e-06	"DNA repair and recombination proteins"
"DNA replication"	4539.13721568871	0.104177197866105	0.0230995072290634	4.50993161165927	6.48485279716187e-06	4.02743489507948e-05	"DNA replication"
"DNA replication proteins"	7671.16746313717	0.128173664184994	0.0222484784539301	5.7610080819865	8.36130358106013e-09	1.64438970427516e-07	"DNA replication proteins"
"Drug metabolism - cytochrome P450"	2056.08504945662	0.365866630515752	0.0569835821617332	6.42056214502861	1.35772028683376e-10	4.00527484615959e-09	"Drug metabolism - cytochrome P450"
"Ethylbenzene degradation"	697.741356250284	-0.572163519420722	0.100325970486606	-5.70304495082962	1.1768593105736e-08	1.98384855210979e-07	"Ethylbenzene degradation"
"Fatty acid biosynthesis"	5732.76306260233	0.177222837348334	0.032565313658322	5.44207371093584	5.26638739202833e-08	7.76792140324178e-07	"Fatty acid biosynthesis"
"Fatty acid elongation in mitochondria"	12.2254077778656	1.57388914319979	0.392892016281847	4.00590767431308	6.17797786584859e-05	0.000280385149296205	"Fatty acid elongation in mitochondria"
"Flagellar assembly"	7047.27099670396	0.238442778166009	0.0642187071033282	3.71298004773521	0.000204833040975809	0.000779687059198242	"Flagellar assembly"
"G protein-coupled receptors"	11.0051255900418	-3.6968934251242	0.348100114471983	-10.6202016932165	2.40041910122967e-26	5.66498907890202e-24	"G protein-coupled receptors"
"Glutathione metabolism"	4594.57471275851	0.203837639972347	0.0389318740571179	5.23575206457547	1.6431440581128e-07	2.04095788270854e-06	"Glutathione metabolism"
"Glycine, serine and threonine metabolism"	8225.68313183956	0.0831174482275751	0.0143797805839346	5.78016109094429	7.46291318107903e-09	1.60113410066787e-07	"Glycine, serine and threonine metabolism"
"Homologous recombination"	5878.04803483467	0.126182015957604	0.0290849910254308	4.33838937228055	1.43530701451545e-05	8.26176720550358e-05	"Homologous recombination"
"Inorganic ion transport and metabolism"	3423.77258668196	0.225136809381579	0.0449893552975141	5.00422395237167	5.60875215458683e-07	5.29466203392996e-06	"Inorganic ion transport and metabolism"
"Isoquinoline alkaloid biosynthesis"	672.463403909942	0.213376041764016	0.0453838927179556	4.70158086901162	2.58154983264837e-06	1.90389300157817e-05	"Isoquinoline alkaloid biosynthesis"
"Lipid biosynthesis proteins"	8207.22690564944	0.0839116084445571	0.0175649284541209	4.77722460775925	1.77731214269496e-06	1.44636436440004e-05	"Lipid biosynthesis proteins"
"Meiosis - yeast"	409.757763225602	-0.386664110782222	0.103175991600664	-3.7476171033934	0.000178522497226951	0.000690677202386238	"Meiosis - yeast"
"Melanogenesis"	11.5853494771644	-1.70983357550578	0.324438900981466	-5.27012503843815	1.36330855359052e-07	1.78744899248535e-06	"Melanogenesis"
"Metabolism of cofactors and vitamins"	1711.07745455144	0.12141810033153	0.03220624736098	3.77001700852103	0.000163236422388765	0.00064206326139581	"Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450"	1956.87126505897	0.354437121496204	0.0601770374062168	5.88990646222122	3.864142705861e-09	9.11937678583197e-08	"Metabolism of xenobiotics by cytochrome P450"
"Methane metabolism"	6638.416817553	-0.141668429438463	0.0339938227772993	-4.16747567246447	3.07991370259662e-05	0.000148338700778123	"Methane metabolism"
"Mineral absorption"	97.3217949061395	-0.627354568738535	0.172629737998534	-3.63410485361371	0.000278947410836275	0.000997448317535771	"Mineral absorption"
"Nitrotoluene degradation"	581.261273922983	-0.498461339230253	0.10304834099346	-4.83716025337941	1.31707239370243e-06	1.15121883301398e-05	"Nitrotoluene degradation"
"One carbon pool by folate"	3671.48234086099	0.0850564086868738	0.023216250659224	3.66365826831217	0.000248638462967823	0.000916854332193848	"One carbon pool by folate"
"Others"	5716.09618544388	-0.148428875053147	0.0327567772361347	-4.53124170253879	5.86380020105616e-06	3.74015364175474e-05	"Others"
"Peroxisome"	1741.35407719869	-0.263955984295492	0.0546512972974339	-4.82982101703716	1.36655832092231e-06	1.15181344192023e-05	"Peroxisome"
"Phenylalanine metabolism"	4028.03608256168	-0.224941350036068	0.0595228927928988	-3.77907288240708	0.000157413350056834	0.000629653400227336	"Phenylalanine metabolism"
"Phosphotransferase system (PTS)"	893.693781187081	0.226180520745509	0.0522948437123907	4.32510176317667	1.52461464348191e-05	8.56688228242218e-05	"Phosphotransferase system (PTS)"
"Photosynthesis"	2535.92276940148	0.215596860376234	0.0428081493314804	5.03635087578262	4.74490446958098e-07	4.86868458617874e-06	"Photosynthesis"
"Photosynthesis proteins"	2697.98057000184	0.207071833308882	0.0434348464939754	4.76741257362573	1.86606927538778e-06	1.46797449663838e-05	"Photosynthesis proteins"
"PPAR signaling pathway"	2055.17311038657	-0.237838688084266	0.0617876100593037	-3.84929418464298	0.000118458669390084	0.000499218678143927	"PPAR signaling pathway"
"Proteasome"	95.411634737756	-2.07945137246434	0.316979265765463	-6.56021259763706	5.37311184064111e-11	2.11342399065217e-09	"Proteasome"
"Proximal tubule bicarbonate reclamation"	332.27206028281	-0.584050316010154	0.102309394146147	-5.70866752642334	1.13864068031143e-08	1.98384855210979e-07	"Proximal tubule bicarbonate reclamation"
"Purine metabolism"	16458.2969009107	0.107123257485912	0.0206339850220701	5.19159325604496	2.08502108261994e-07	2.46032487749153e-06	"Purine metabolism"
"Pyrimidine metabolism"	11793.908587374	0.103773946564461	0.0263558321146284	3.9374187129862	8.23628188450323e-05	0.00036674764617788	"Pyrimidine metabolism"
"Replication, recombination and repair proteins"	5083.52068137962	-0.180964484937631	0.043304767202313	-4.17885827886324	2.92976174071792e-05	0.000144046618918631	"Replication, recombination and repair proteins"
