"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "	21.0092357904209	-0.82112688679073	0.18446396026719	-4.45142176065913	8.53036131133303e-06	3.59366858219997e-05	"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "
"gldA; glycerol dehydrogenase "	3.71922895115727	1.72328389938111	0.32069643358552	5.37356739554	7.7193933518751e-08	4.38387213222836e-07	"gldA; glycerol dehydrogenase "
"UGDH, ugd; UDPglucose 6-dehydrogenase "	305.695664482165	0.250550506919058	0.0665790845683075	3.76320143996577	0.000167751969766348	0.000561354404738216	"UGDH, ugd; UDPglucose 6-dehydrogenase "
"gyaR, GOR1; glyoxylate reductase "	141.821805909335	0.537901957020756	0.134818230137504	3.98983102264535	6.6120383144316e-05	0.000244528810818496	"gyaR, GOR1; glyoxylate reductase "
"hprA; glycerate dehydrogenase "	18.2776360689239	1.00072923507744	0.27399599838201	3.65234981892767	0.000259851569088353	0.000832171710508063	"hprA; glycerate dehydrogenase "
"uxaB; tagaturonate reductase "	17.6170208757181	-1.23713468085023	0.27511369420819	-4.49681243389522	6.89797886285259e-06	2.93436185736073e-05	"uxaB; tagaturonate reductase "
"gbd; 4-hydroxybutyrate dehydrogenase "	2.59446565118817	-1.52422112149435	0.323430436238259	-4.71267064170643	2.44491191591911e-06	1.10833396860961e-05	"gbd; 4-hydroxybutyrate dehydrogenase "
"E1.1.1.67, mtlK; mannitol 2-dehydrogenase "	45.9494729043068	1.36633597884596	0.282111175979538	4.84325363609509	1.27730069189853e-06	6.11850805205539e-06	"E1.1.1.67, mtlK; mannitol 2-dehydrogenase "
"E1.1.1.90; aryl-alcohol dehydrogenase "	14.6925579784995	-0.991532820772964	0.240072675226444	-4.13013609248833	3.62548553468049e-05	0.000139928419204914	"E1.1.1.90; aryl-alcohol dehydrogenase "
"tdh; threonine 3-dehydrogenase "	72.0983259328543	1.20282282124159	0.178309589306297	6.74569901664348	1.522920282942e-11	1.47397857128506e-10	"tdh; threonine 3-dehydrogenase "
"E1.1.1.122; D-threo-aldose 1-dehydrogenase "	133.015156983856	1.30686279968168	0.273184622213827	4.78380806756676	1.72004936225748e-06	8.12931509941725e-06	"E1.1.1.122; D-threo-aldose 1-dehydrogenase "
"allD; ureidoglycolate dehydrogenase (NAD+) "	2.75157755591542	-1.53741150772121	0.305010678237211	-5.04051699634445	4.64275889968926e-07	2.34708043661077e-06	"allD; ureidoglycolate dehydrogenase (NAD+) "
"ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase "	11.7574160150497	-3.24548973864938	0.306929983133956	-10.5740394128681	3.93185915947364e-26	1.9701050053929e-24	"ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase "
"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit "	2.54161950275109	-1.22366365299274	0.3266312612878	-3.74631518173808	0.00017945110259735	0.000590384743118068	"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit "
"E1.1.1.219; dihydroflavonol-4-reductase "	78.846644229101	0.948344562850525	0.19108986857998	4.96281969262854	6.94770753507825e-07	3.43562620642909e-06	"E1.1.1.219; dihydroflavonol-4-reductase "
"araM, egsA; glycerol-1-phosphate dehydrogenase "	14.2877648614729	-1.72199367151971	0.292692474934886	-5.88328644903766	4.021989416854e-09	2.71748258690064e-08	"araM, egsA; glycerol-1-phosphate dehydrogenase "
"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase "	310.555892210384	0.456262902899649	0.0837233133891556	5.44965176878376	5.04685398501501e-08	2.92779582614293e-07	"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase "
"GULO; L-gulonolactone oxidase "	12.4558184730319	-2.69453925733627	0.317077342079794	-8.49805047456902	1.9280127898632e-17	3.65097271444998e-16	"GULO; L-gulonolactone oxidase "
"glpB; glycerol-3-phosphate dehydrogenase subunit B "	10.4434698307025	-0.881457770118517	0.238284590668674	-3.69918074704274	0.000216296527806748	0.000701013703744596	"glpB; glycerol-3-phosphate dehydrogenase subunit B "
"exaA; alcohol dehydrogenase (cytochrome c) "	111.301085976943	1.9559989322964	0.164105461552393	11.9191580450351	9.40542117462094e-33	1.56627925560893e-30	"exaA; alcohol dehydrogenase (cytochrome c) "
"gcd; quinoprotein glucose dehydrogenase "	145.115889658989	0.754511099896444	0.144041550716634	5.23814896564641	1.62195124843932e-07	8.65550232673271e-07	"gcd; quinoprotein glucose dehydrogenase "
"gfo; glucose-fructose oxidoreductase "	12.1339155947264	1.62180797285313	0.247251931793097	6.55933387897763	5.40486661387382e-11	4.89637676284058e-10	"gfo; glucose-fructose oxidoreductase "
"fdoG, fdhF, fdwA; formate dehydrogenase major subunit "	278.801974757771	-0.689448405041544	0.159626138514026	-4.3191447933257	1.56634994690678e-05	6.37575370193114e-05	"fdoG, fdhF, fdwA; formate dehydrogenase major subunit "
"prr; aminobutyraldehyde dehydrogenase "	60.7175726690802	2.4058681367353	0.266634007489853	9.02311059037304	1.82822857848486e-19	4.7923288015654e-18	"prr; aminobutyraldehyde dehydrogenase "
"E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase "	18.3928181784315	-1.83837123778478	0.258925040751524	-7.10001331832931	1.24744867262833e-12	1.45031917544591e-11	"E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase "
"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta "	5.3913878010407	-1.60527325828619	0.301522813097474	-5.32388658024112	1.0157325312421e-07	5.6772730423423e-07	"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta "
"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma "	7.29371926557879	-1.45589291891408	0.293929502618664	-4.95320444509077	7.30012040872327e-07	3.60674360856816e-06	"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma "
"fabI; enoyl-"	333.098570084785	0.350500483517528	0.0704259024344779	4.9768688991046	6.46210573366193e-07	3.21233034802404e-06	"fabI; enoyl-"
"E1.3.1.12; prephenate dehydrogenase "	12.0634100751827	2.00803274196421	0.226155305475531	8.87899904776486	6.74646858836705e-19	1.64648729083337e-17	"E1.3.1.12; prephenate dehydrogenase "
"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase "	6.39746376438232	-1.60670357218871	0.290895947753847	-5.523293069549	3.32704084502361e-08	1.97047126197946e-07	"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase "
"tyrC; cyclohexadieny/prephenate dehydrogenase "	114.126821945548	0.758614181284166	0.162328185910188	4.67333616174265	2.96346122364014e-06	1.33061994038465e-05	"tyrC; cyclohexadieny/prephenate dehydrogenase "
"E4.99.1.2; alkylmercury lyase "	2.26840194060378	1.54085751697423	0.387193383032024	3.97955539660343	6.9044270683885e-05	0.00024947585233705	"E4.99.1.2; alkylmercury lyase "
"pyrD; dihydroorotate dehydrogenase (fumarate) "	18.5527917974789	-1.26619029025771	0.2311457606908	-5.477886708688	4.30435563857013e-08	2.51509407900765e-07	"pyrD; dihydroorotate dehydrogenase (fumarate) "
"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	157.303889155402	0.461014753410774	0.123565016087337	3.73094883979882	0.000190759962411024	0.000623964706626932	"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
"frdA; fumarate reductase flavoprotein subunit "	21.1067253021842	-1.65069561205657	0.30967113101475	-5.33047948850596	9.7953796843698e-08	5.49123166068335e-07	"frdA; fumarate reductase flavoprotein subunit "
"frdB; fumarate reductase iron-sulfur subunit "	2.64153127555518	-1.45851860158222	0.320994908027683	-4.54374373270879	5.52638381403532e-06	2.37048372386879e-05	"frdB; fumarate reductase iron-sulfur subunit "
"frdC; fumarate reductase subunit C"	2.64153127555518	-1.45851860158222	0.320994908027683	-4.54374373270879	5.52638381403532e-06	2.37048372386879e-05	"frdC; fumarate reductase subunit C"
"frdD; fumarate reductase subunit D"	2.64153127555518	-1.45851860158222	0.320994908027683	-4.54374373270879	5.52638381403532e-06	2.37048372386879e-05	"frdD; fumarate reductase subunit D"
"ACADL; long-chain-acyl-CoA dehydrogenase "	16.5728703616832	-1.86353131267463	0.238918420361713	-7.79986453055111	6.19736679535812e-15	9.20984010375792e-14	"ACADL; long-chain-acyl-CoA dehydrogenase "
"vdh; valine dehydrogenase (NAD+) "	15.9971625615892	-2.47849130304304	0.254209099679759	-9.74981346523526	1.84807532514673e-22	6.97586832732052e-21	"vdh; valine dehydrogenase (NAD+) "
"DAO, aao; D-amino-acid oxidase "	14.1474615213951	-2.9844506796079	0.269392504843855	-11.0784473433578	1.59616482198453e-28	1.00416502467515e-26	"DAO, aao; D-amino-acid oxidase "
"MAO, aofH; monoamine oxidase "	120.72276836892	0.691640656459351	0.18328963665936	3.77348479196755	0.000160983036915074	0.000539979831168926	"MAO, aofH; monoamine oxidase "
