"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"	"metadata_KEGG_Description"	"metadata_KEGG_Pathways"	"clean_KEGG_Pathways"
"1"	"K00007"	71.1184225105204	2.80932753167683	0.590927544736827	4.75409812370141	1.99334214808977e-06	6.50024012681955e-05	"K00007"	"D-arabinitol 4-dehydrogenase [EC:1.1.1.11]"	"Metabolism;Carbohydrate Metabolism;Fructose and mannose metabolism|Metabolism;Carbohydrate Metabolism;Pentose and glucuronate interconversions"	"[['Metabolism', 'Carbohydrate Metabolism', 'Fructose and mannose metabolism'], ['Metabolism', 'Carbohydrate Metabolism', 'Pentose and glucuronate interconversions']]"
"2"	"K00032"	36.8902906129926	1.89103857483739	0.456090058705789	4.14619555664827	3.38045140004928e-05	0.000457694280112426	"K00032"	"phosphogluconate 2-dehydrogenase [EC:1.1.1.43]"	"Metabolism;Carbohydrate Metabolism;Pentose phosphate pathway|Metabolism;Metabolism of Other Amino Acids;Glutathione metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Pentose phosphate pathway'], ['Metabolism', 'Metabolism of Other Amino Acids', 'Glutathione metabolism']]"
"3"	"K00090"	106.446840486055	1.79192290491436	0.449217938609213	3.98898341072974	6.63570615512517e-05	0.000729007646903452	"K00090"	"gluconate 2-dehydrogenase [EC:1.1.1.215]"	"Metabolism;Carbohydrate Metabolism;Pentose phosphate pathway"	"[['Metabolism', 'Carbohydrate Metabolism', 'Pentose phosphate pathway']]"
"4"	"K00091"	75.0936308835682	-0.931008304633229	0.222062282828686	-4.19255486692206	2.75830341546919e-05	0.000405258424888166	"K00091"	"dihydroflavonol-4-reductase [EC:1.1.1.219]"	"Metabolism;Biosynthesis of Other Secondary Metabolites;Flavonoid biosynthesis"	"[['Metabolism', 'Biosynthesis of Other Secondary Metabolites', 'Flavonoid biosynthesis']]"
"5"	"K00112"	20.7949370192281	-1.64137253125557	0.227436903021082	-7.21682589523929	5.32150367323159e-13	9.18045214336856e-11	"K00112"	"glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"	"Metabolism;Lipid Metabolism;Glycerophospholipid metabolism"	"[['Metabolism', 'Lipid Metabolism', 'Glycerophospholipid metabolism']]"
"6"	"K00113"	26.1689931018058	-1.44743674704865	0.25436252802603	-5.69044803211158	1.2670647098418e-08	1.05879094816155e-06	"K00113"	"glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]"	"Metabolism;Lipid Metabolism;Glycerophospholipid metabolism"	"[['Metabolism', 'Lipid Metabolism', 'Glycerophospholipid metabolism']]"
"7"	"K00116"	105.973179178985	1.61481144805228	0.309585241019116	5.21604790569639	1.82780922458215e-07	9.73930648727812e-06	"K00116"	"malate dehydrogenase (quinone) [EC:1.1.5.4]"	"Metabolism;Carbohydrate Metabolism;Pyruvate metabolism"	"[['Metabolism', 'Carbohydrate Metabolism', 'Pyruvate metabolism']]"
"8"	"K00138"	186.421673174266	0.946536013553519	0.238734801639026	3.96480113940282	7.34571594897282e-05	0.000788853190664792	"K00138"	"aldehyde dehydrogenase [EC:1.2.1.-]"	"Unclassified;Metabolism;Energy metabolism"	"[['Unclassified', 'Metabolism', 'Energy metabolism']]"
"9"	"K00141"	126.362544791924	1.67272842770743	0.393673023709122	4.24902984702194	2.14698314312792e-05	0.000339706090220358	"K00141"	"benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"	"Metabolism;Xenobiotics Biodegradation and Metabolism;Toluene degradation|Metabolism;Xenobiotics Biodegradation and Metabolism;Xylene degradation|Metabolism;Xenobiotics Biodegradation and Metabolism;Aminobenzoate degradation"	"[['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Toluene degradation'], ['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Xylene degradation'], ['Metabolism', 'Xenobiotics Biodegradation and Metabolism', 'Aminobenzoate degradation']]"
"10"	"K00166"	81.4952643103233	-0.712380296024567	0.182396289822423	-3.90567317305699	9.39634387514609e-05	0.000939633576723549	"K00166"	"2-oxoisovalerate dehydrogenase E1 component, alpha subunit [EC:1.2.4.4]"	"Metabolism;Amino Acid Metabolism;Valine, leucine and isoleucine degradation"	"[['Metabolism', 'Amino Acid Metabolism', 'Valine, leucine and isoleucine degradation']]"
