"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) "	36.2113309032284	3.79196593390642	0.879481604915102	4.31159209324505	1.62083240184463e-05	0.000982403724628062	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) "
"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"	105.179210562896	-3.33119619964512	0.795668014039612	-4.18666597232257	2.83081951518224e-05	0.000982403724628062	"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
"E1.3.1.12; prephenate dehydrogenase "	26.5555958591282	-3.43486649929327	0.812391085095914	-4.22809477148279	2.35678523862756e-05	0.000982403724628062	"E1.3.1.12; prephenate dehydrogenase "
"ACADL; long-chain-acyl-CoA dehydrogenase "	66.0021753874239	4.17621999333301	0.915607286957776	4.56114761516266	5.08747984851864e-06	0.000982403724628062	"ACADL; long-chain-acyl-CoA dehydrogenase "
"sthA, udhA; NAD(P) transhydrogenase "	77.8247505386858	3.05442242177895	0.721335486460784	4.23439922076397	2.29163524838321e-05	0.000982403724628062	"sthA, udhA; NAD(P) transhydrogenase "
"nirA; ferredoxin-nitrite reductase "	26.9383471249712	-3.36707930756353	0.804595928184356	-4.1848077893728	2.85407495261485e-05	0.000982403724628062	"nirA; ferredoxin-nitrite reductase "
"TYR; tyrosinase "	27.5311868901972	-3.4020659544737	0.809747309591261	-4.20139210612626	2.65278669024299e-05	0.000982403724628062	"TYR; tyrosinase "
"TPMT, tpmT; thiopurine S-methyltransferase "	98.6688128509529	3.1615593054778	0.755974104694015	4.18210000295904	2.88828869482876e-05	0.000982403724628062	"TPMT, tpmT; thiopurine S-methyltransferase "
"GATM; glycine amidinotransferase "	26.5248832458805	-3.43531718540218	0.819205001161592	-4.19347682268915	2.74711156663513e-05	0.000982403724628062	"GATM; glycine amidinotransferase "
"puuE; 4-aminobutyrate aminotransferase "	51.0408138940331	3.51216449640161	0.727353245372132	4.82869158658211	1.37433069499386e-06	0.000982403724628062	"puuE; 4-aminobutyrate aminotransferase "
"cca; tRNA nucleotidyltransferase (CCA-adding enzyme) "	127.39719978359	2.99651317018215	0.701326474184521	4.27263661145317	1.9317512980037e-05	0.000982403724628062	"cca; tRNA nucleotidyltransferase (CCA-adding enzyme) "
"lip, TGL2; triacylglycerol lipase "	40.5012409588057	3.82211464409364	0.871988836437231	4.38321511053974	1.16940541961944e-05	0.000982403724628062	"lip, TGL2; triacylglycerol lipase "
"pcaD; 3-oxoadipate enol-lactonase "	233.715649485606	3.23260323076157	0.779489655531178	4.14707649783849	3.36747574314721e-05	0.000989982443190383	"pcaD; 3-oxoadipate enol-lactonase "
"pgpA; phosphatidylglycerophosphatase A "	124.183197694357	2.98540707891449	0.714920626781017	4.17585808421349	2.96864861467858e-05	0.000982403724628062	"pgpA; phosphatidylglycerophosphatase A "
"apaH; bis(5-nucleosyl)-tetraphosphatase (symmetrical) "	125.093126102317	2.9772376590071	0.710986007660394	4.18747714713001	2.82072412663719e-05	0.000982403724628062	"apaH; bis(5-nucleosyl)-tetraphosphatase (symmetrical) "
"adiA; arginine decarboxylase "	132.105784330165	3.09299788184024	0.697819555259852	4.4323749005407	9.32007794369603e-06	0.000982403724628062	"adiA; arginine decarboxylase "
"cysP, sbp; sulfate transport system substrate-binding protein"	236.66654086982	2.96123814871073	0.662494021328642	4.46983376962696	7.82804127352675e-06	0.000982403724628062	"cysP, sbp; sulfate transport system substrate-binding protein"
"bfd; bacterioferritin-associated ferredoxin"	128.506298958808	3.0360387410832	0.695130034838327	4.36758388923494	1.25628549378233e-05	0.000982403724628062	"bfd; bacterioferritin-associated ferredoxin"
"lolB; outer membrane lipoprotein LolB"	124.955449583134	2.97723467316135	0.710880325087955	4.18809547555419	2.81305178590472e-05	0.000982403724628062	"lolB; outer membrane lipoprotein LolB"
"kdgT; 2-keto-3-deoxygluconate permease"	26.6625597650634	-3.43468480805181	0.809684074719495	-4.24200612966448	2.21530640056316e-05	0.000982403724628062	"kdgT; 2-keto-3-deoxygluconate permease"
"rraA, menG; regulator of ribonuclease activity A"	101.621962404757	3.30025879910369	0.760658315209899	4.33868759877161	1.43336101829969e-05	0.000982403724628062	"rraA, menG; regulator of ribonuclease activity A"
"paaY; phenylacetic acid degradation protein"	98.1811074164582	3.23088026363428	0.765552166867387	4.220326717714	2.43948509850017e-05	0.000982403724628062	"paaY; phenylacetic acid degradation protein"
"pilH; twitching motility two-component system response regulator PilH"	123.433101077768	3.01703176244466	0.72575162680124	4.15711333055121	3.22294130780409e-05	0.000989982443190383	"pilH; twitching motility two-component system response regulator PilH"
"pilW; type IV pilus assembly protein PilW"	126.646724401563	2.99393287718376	0.707874281024589	4.2294697765404	2.34242744232307e-05	0.000982403724628062	"pilW; type IV pilus assembly protein PilW"
"ubiC; chorismate--pyruvate lyase "	99.8873089619948	3.1598912830917	0.748743962575848	4.22025611027429	2.44024930636281e-05	0.000982403724628062	"ubiC; chorismate--pyruvate lyase "
"ureJ; urease accessory protein"	153.092981639757	3.06750499114318	0.690630250625256	4.441602418032	8.92914291799725e-06	0.000982403724628062	"ureJ; urease accessory protein"
"gltS; glutamate:Na+ symporter, ESS family"	64.4954850028202	4.00815788025281	0.869371322338302	4.61040958824392	4.01876391709312e-06	0.000982403724628062	"gltS; glutamate:Na+ symporter, ESS family"
"yahN; amino acid exporter"	26.5248832458805	-3.43531718540218	0.819205001161592	-4.19347682268915	2.74711156663513e-05	0.000982403724628062	"yahN; amino acid exporter"
"chnB; cyclohexanone monooxygenase "	52.7773111045225	4.29892071715306	0.90505772603371	4.74988566308636	2.03531691418681e-06	0.000982403724628062	"chnB; cyclohexanone monooxygenase "
"fis; Fis family transcriptional regulator, factor for inversion stimulation protein"	124.955449583134	2.97723467316135	0.710880325087955	4.18809547555419	2.81305178590472e-05	0.000982403724628062	"fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
"metR; LysR family transcriptional regulator, regulator for metE and metH"	105.914838966023	3.24811244519566	0.73544868427284	4.41650452935023	1.00309800005041e-05	0.000982403724628062	"metR; LysR family transcriptional regulator, regulator for metE and metH"
"ftsL; cell division protein FtsL"	124.955449583134	2.97723467316135	0.710880325087955	4.18809547555419	2.81305178590472e-05	0.000982403724628062	"ftsL; cell division protein FtsL"
"sspB; stringent starvation protein B"	124.955449583134	2.97723467316135	0.710880325087955	4.18809547555419	2.81305178590472e-05	0.000982403724628062	"sspB; stringent starvation protein B"
"dsbB; disulfide bond formation protein DsbB"	125.799087876618	2.96953967207406	0.705563555470241	4.20874866488098	2.56788826711193e-05	0.000982403724628062	"dsbB; disulfide bond formation protein DsbB"
"lolA; outer membrane lipoprotein carrier protein"	125.241263980999	2.98207768246482	0.708709409388773	4.20775799355721	2.57916863989133e-05	0.000982403724628062	"lolA; outer membrane lipoprotein carrier protein"
"ubiJ; ubiquinone biosynthesis protein UbiJ"	124.955449583134	2.97723467316135	0.710880325087955	4.18809547555419	2.81305178590472e-05	0.000982403724628062	"ubiJ; ubiquinone biosynthesis protein UbiJ"
"tenA; thiaminase (transcriptional activator TenA) "	62.6928422948373	3.84588037782833	0.884213460938175	4.34949313455118	1.36452555472066e-05	0.000982403724628062	"tenA; thiaminase (transcriptional activator TenA) "
"hns; DNA-binding protein H-NS"	112.129684913664	3.49207742024709	0.802923621567839	4.34920249752803	1.36633503710603e-05	0.000982403724628062	"hns; DNA-binding protein H-NS"
"slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA "	123.163975070747	3.0328814513558	0.729426735681131	4.15789729522832	3.21190359328023e-05	0.000989982443190383	"slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA "
"dld; D-lactate dehydrogenase (quinone) "	39.4070352394444	3.38248955414243	0.735589168672126	4.59834062027919	4.25869321241481e-06	0.000982403724628062	"dld; D-lactate dehydrogenase (quinone) "
