"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"Amino acid metabolism"	420.331900174324	0.593130151412589	0.08631995544131	6.87129816483589	6.36202592444987e-12	7.50719059085085e-10	"Amino acid metabolism"
"Arginine and proline metabolism"	4387.36781091053	0.294447527861564	0.061168057513975	4.8137465832439	1.48126626393609e-06	2.18486773930573e-05	"Arginine and proline metabolism"
"Bile secretion"	44.5729358276725	2.64352964130283	0.681083019125528	3.88136184146386	0.000103873156488523	0.000700401855179758	"Bile secretion"
"Biosynthesis and biodegradation of secondary metabolites"	465.745850568021	0.81688721606063	0.166104590301433	4.91790873797172	8.74736737932835e-07	1.47455621537249e-05	"Biosynthesis and biodegradation of secondary metabolites"
"Bisphenol degradation"	343.404018747004	-0.821318449134849	0.200958284352567	-4.08700965865088	4.36968934311378e-05	0.000355602305163742	"Bisphenol degradation"
"Carbon fixation in photosynthetic organisms"	1631.63634711174	-0.306549216699352	0.0780406480827187	-3.92807112998892	8.56298873205353e-05	0.000612383436595343	"Carbon fixation in photosynthetic organisms"
"D-Glutamine and D-glutamate metabolism"	558.481485222863	-0.403657206594641	0.0592576976370258	-6.81189487089396	9.63214889041751e-12	7.57729046046178e-10	"D-Glutamine and D-glutamate metabolism"
"Dioxin degradation"	334.10247296048	0.87642251261053	0.211531032427004	4.14323374946401	3.42442589763004e-05	0.000299320189570626	"Dioxin degradation"
"Drug metabolism - other enzymes"	787.979469477683	-0.303520350266572	0.0756928986693762	-4.00989201896386	6.07465214567173e-05	0.000462457389154364	"Drug metabolism - other enzymes"
"Endocytosis"	60.947426881327	2.84486516086537	0.606932704399602	4.68728269253443	2.76856421765834e-06	3.43884818614404e-05	"Endocytosis"
"Energy metabolism"	3300.84449864743	0.426242976279044	0.0859534957779124	4.95899523831323	7.0858703822422e-07	1.2863580078532e-05	"Energy metabolism"
"Fc gamma R-mediated phagocytosis"	60.947426881327	2.84486516086537	0.606932704399602	4.68728269253443	2.76856421765834e-06	3.43884818614404e-05	"Fc gamma R-mediated phagocytosis"
"Fructose and mannose metabolism"	1631.46923040099	-0.554137470291506	0.083957013261323	-6.60025230491119	4.10458631820021e-11	1.9373647421905e-09	"Fructose and mannose metabolism"
"Glutamatergic synapse"	461.922498276895	0.59038120242345	0.12962772110657	4.55443633031305	5.252623035316e-06	5.38964798406338e-05	"Glutamatergic synapse"
"Glycan biosynthesis and metabolism"	354.104519624193	0.734597073370223	0.142088579820352	5.16999377641047	2.34101790911688e-07	5.52480226551584e-06	"Glycan biosynthesis and metabolism"
"Glycolysis / Gluconeogenesis"	3180.51392388344	-0.236175990534047	0.0474512477576851	-4.97723456588761	6.44991410345634e-07	1.26848310701308e-05	"Glycolysis / Gluconeogenesis"
"GnRH signaling pathway"	60.947426881327	2.84486516086537	0.606932704399602	4.68728269253443	2.76856421765834e-06	3.43884818614404e-05	"GnRH signaling pathway"
"Inorganic ion transport and metabolism"	1688.43469830731	0.355930578102877	0.077332159269218	4.60262045527228	4.17208120484378e-06	4.68862459211015e-05	"Inorganic ion transport and metabolism"
"Linoleic acid metabolism"	270.161487649439	-0.847562551370969	0.208973706977193	-4.05583345211689	4.99558474757966e-05	0.000392986000142933	"Linoleic acid metabolism"
"Lipoic acid metabolism"	311.920519686317	-0.607226699069616	0.106327838967432	-5.7108910043362	1.1238620998143e-08	3.78902079365964e-07	"Lipoic acid metabolism"
"Metabolism of cofactors and vitamins"	714.895686657401	0.609017270112731	0.0756766040390422	8.04762948663148	8.44130417741824e-16	1.99214778587071e-13	"Metabolism of cofactors and vitamins"
"Nitrogen metabolism"	2748.90429779681	0.3656577488849	0.0697608700061527	5.24158814035218	1.59200399421131e-07	4.17458825148744e-06	"Nitrogen metabolism"
"Phenylalanine metabolism"	1819.19964352688	0.280408918373714	0.0737438161206412	3.80247365982497	0.000143258501730425	0.000913756929956225	"Phenylalanine metabolism"
"Phosphonate and phosphinate metabolism"	354.021134607392	0.497619880592491	0.0917040343020836	5.42636847309546	5.75121696218058e-08	1.69660900384327e-06	"Phosphonate and phosphinate metabolism"
"Photosynthesis"	925.962471675082	-0.24055700565845	0.05842756636673	-4.11718338820679	3.83530883579474e-05	0.000323261744731271	"Photosynthesis"
"Photosynthesis proteins"	1086.27396077778	-0.255610606625108	0.0553445855178472	-4.61852960381609	3.86468850037411e-06	4.56033243044145e-05	"Photosynthesis proteins"
"Prenyltransferases"	785.873180149379	-0.323508517071872	0.0746994780043292	-4.33080023736073	1.48568419722894e-05	0.000146092279394179	"Prenyltransferases"
"Proteasome"	115.336028641348	-2.41624647162974	0.582133526306166	-4.15067396472016	3.31497696129345e-05	0.000299320189570626	"Proteasome"
"Protein export"	1796.12249738168	-0.244292613565613	0.05822170490461	-4.19590278171791	2.71786816873221e-05	0.00025656675512832	"Protein export"
"Protein kinases"	1991.7678261039	0.375044408746093	0.0958762209200707	3.91175627436085	9.16273566891173e-05	0.000636001652312696	"Protein kinases"
"Purine metabolism"	6797.4704357703	-0.189929606634125	0.0415839041873214	-4.56738274930985	4.93851757167248e-06	5.29768248597593e-05	"Purine metabolism"
"Ribosome"	5753.04272640354	-0.243553691566632	0.0612599744470542	-3.97573935942677	7.01609351464983e-05	0.000517436896705425	"Ribosome"
"Signal transduction mechanisms"	1729.42275961568	0.506859023281005	0.101490032383833	4.99417540201462	5.90876788567686e-07	1.26769929183613e-05	"Signal transduction mechanisms"
