"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "	103.042588926984	-1.62362382274465	0.369814037044434	-4.39037910978368	1.13153209374029e-05	5.10755215375575e-05	"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "
"SORD, gutB; L-iditol 2-dehydrogenase "	99.4926336591267	-1.86416227475265	0.36894302247169	-5.05271047617033	4.3558392697174e-07	2.64759273872388e-06	"SORD, gutB; L-iditol 2-dehydrogenase "
"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "	93.9138272184677	-2.4872072389054	0.503032718088552	-4.94442438725737	7.6369175122345e-07	4.50210089004379e-06	"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "
"LDH, ldh; L-lactate dehydrogenase "	23.6378144446489	2.97606485025334	0.437697740999924	6.79936077224089	1.05084363476733e-11	1.01817384255774e-10	"LDH, ldh; L-lactate dehydrogenase "
"mdh; malate dehydrogenase "	174.21128369185	-1.57145693323153	0.33450305149376	-4.69788519481068	2.62869110655343e-06	1.32599851385216e-05	"mdh; malate dehydrogenase "
"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) "	36.2113309032284	-2.89774107262882	0.457862234396938	-6.32884928027643	2.46996220368247e-10	2.13525177784776e-09	"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) "
"E1.1.1.43; phosphogluconate 2-dehydrogenase "	8.80409742780728	2.33288887168725	0.404942492100401	5.76103747370833	8.35984751175619e-09	6.01540204044457e-08	"E1.1.1.43; phosphogluconate 2-dehydrogenase "
"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase "	190.509712445126	-2.30485800965309	0.40471207605224	-5.69505617953338	1.23331304224178e-08	8.77122197047823e-08	"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase "
"gdh; glucose 1-dehydrogenase "	87.6754826794515	-2.05999743399571	0.468971264227417	-4.39258775777947	1.12009393508841e-05	5.060590604236e-05	"gdh; glucose 1-dehydrogenase "
"uxuB; fructuronate reductase "	89.932415398866	-2.25918520629639	0.45063273404865	-5.01336240267998	5.34870203319311e-07	3.21908967385165e-06	"uxuB; fructuronate reductase "
