"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"E1.1.1.1, adh; alcohol dehydrogenase "	239.070315118779	1.71595192021672	0.170365788359329	10.0721625905167	7.33472894247182e-24	2.71966177290605e-23	"E1.1.1.1, adh; alcohol dehydrogenase "
"E1.1.1.3; homoserine dehydrogenase "	215.925922528099	0.842616568031528	0.150127869799717	5.61265918950058	1.99240772511854e-08	3.45831163078516e-08	"E1.1.1.3; homoserine dehydrogenase "
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "	48.746864898779	2.99491908897749	0.199715703876462	14.9959118429167	7.80829231895905e-51	1.662050793607e-49	"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "
"gldA; glycerol dehydrogenase "	19.2445876558063	2.82181876211696	0.29520062566445	9.55898638685299	1.1891561536793e-21	3.86509881867518e-21	"gldA; glycerol dehydrogenase "
"dalD; D-arabinitol 4-dehydrogenase "	25.9179720346775	2.73419899270158	0.333330884128034	8.20265724807954	2.3513087481941e-16	5.95398485343247e-16	"dalD; D-arabinitol 4-dehydrogenase "
"SORD, gutB; L-iditol 2-dehydrogenase "	116.26522409089	0.697389571470141	0.20398486915322	3.41882990814533	0.000628910265781723	0.000836282274508248	"SORD, gutB; L-iditol 2-dehydrogenase "
"mtlD; mannitol-1-phosphate 5-dehydrogenase "	4.38458011255698	-1.0594929845902	0.224542564702791	-4.71845053516944	2.37647734056971e-06	3.63567000872892e-06	"mtlD; mannitol-1-phosphate 5-dehydrogenase "
"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "	62.5743214665391	1.40838085441033	0.240276234762032	5.86150709330527	4.58684878972647e-09	8.24729687120713e-09	"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "
"AKR1B; aldehyde reductase "	4.39571410204406	-1.97666382902409	0.252770425225653	-7.81999645432996	5.28248248317106e-15	1.26093658599134e-14	"AKR1B; aldehyde reductase "
"UGDH, ugd; UDPglucose 6-dehydrogenase "	244.714684771316	1.13142045218821	0.164497714174027	6.87803145392792	6.06852735197866e-12	1.26836477914002e-11	"UGDH, ugd; UDPglucose 6-dehydrogenase "
"hisD; histidinol dehydrogenase "	220.136725038718	0.886448116051077	0.149264211521011	5.93878537271672	2.87141483065208e-09	5.21088165742054e-09	"hisD; histidinol dehydrogenase "
"aroE; shikimate dehydrogenase "	326.675074319681	2.02219278449985	0.170316223555327	11.8731659397259	1.63173524826706e-32	1.10910984101898e-31	"aroE; shikimate dehydrogenase "
"hprA; glycerate dehydrogenase "	53.7721024007467	2.91632667586162	0.228990905674609	12.735556756152	3.75160271222186e-37	3.29838114232922e-36	"hprA; glycerate dehydrogenase "
"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "	156.861658336229	2.03772752179752	0.172067375764822	11.842614050107	2.3501192226534e-32	1.58032957703843e-31	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "
