"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"eee43f3674481522077807b8c6eb7759","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea",NA
"5d210d1ac6c6821a5fc6f3f12625664d","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea",NA
"b81b44fa9c290fb7797fdd7b34cbabf5","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","uncultured archaeon"
"1230d7765ed2388f908de37ade0efdd6","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosotenuis","uncultured bacterium"
"c52fe6dc54055468f6bab47a491e8582","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","uncultured soil archaeon"
"c7231baeff73507a85e4fc825f4e30aa","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"782863267254a4a37c177c513beb1c07","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"c097a86835a803b2b663ca314d6984a7","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"404ba346f82cba6901e1ab750ba137c6","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"578479db35db4cc57e3c327d4b4a92d6","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"4fce50300689cd05b738957e24dd7942","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"0f9e19cb798e93284bef77850a4e85fe","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured soil archaeon","uncultured soil archaeon"
"63a37f347166e51961940ea4b609e9a1","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"dd653b49cfe3e2f843a75ce9b8f5585a","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"2e673eaf5c17e19e2265b8f261aed08f","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured archaeon","uncultured archaeon"
"05397610c31062b808935f82fe500fb2","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"f8a61aa04355e60b2aaaf1f902ce30dc","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"355610c35c292f399f74aeb05615e861","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"1dbed442b606b25fee42e4c5e5ef1534","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured compost archaeon","uncultured compost archaeon"
"e510ff082def07cf57e35e271bfc2952","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured compost archaeon","uncultured compost archaeon"
"5d96868b4f0183d45d3bafb98f5310c8","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
