"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"b81b44fa9c290fb7797fdd7b34cbabf5",14.3619674239854,-4.61213719382741,0.341196781151958,-13.5175284428411,1.232473093445e-41,1.35755991486926e-40,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","uncultured archaeon"
"c097a86835a803b2b663ca314d6984a7",1.81594313917079,-0.729273527042718,0.208646162532664,-3.49526450997415,0.000473592161449194,0.000816614521377348,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"404ba346f82cba6901e1ab750ba137c6",2.24351618704462,-0.957437753048872,0.245039015620552,-3.90728697070627,9.33382724688138e-05,0.00017050407198511,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"4fce50300689cd05b738957e24dd7942",25.1710529049904,-5.36636155617026,0.327868746738312,-16.3674080239597,3.26840087817694e-60,7.78090273578898e-59,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"0f9e19cb798e93284bef77850a4e85fe",3.42503705167689,-1.1272613429744,0.261722033614475,-4.30709377963527,1.65413492709473e-05,3.23806784136845e-05,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured soil archaeon","uncultured soil archaeon"
"63a37f347166e51961940ea4b609e9a1",4.55078478782657,-2.75581509264387,0.295829205860644,-9.31556126997835,1.21309438601199e-20,5.4258403447082e-20,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"f8a61aa04355e60b2aaaf1f902ce30dc",11.7370403576345,-4.13798432152285,0.310774142080348,-13.3150856561709,1.89155393467886e-40,1.93884278304583e-39,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"c77612d0cea78a7761e05637d8be4bec",4.95526431722942,-2.90824801924755,0.276762123037064,-10.5081142872216,7.9262538135211e-26,4.30115831939601e-25,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"2e31e1ae11d5a78f4d406151a850f95b",3.21862962574963,-2.23147370379111,0.256912115684919,-8.6857472557963,3.76260662561653e-18,1.40954502015482e-17,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"c26ab41a98da234b363570ee469fe811",22.1974772389745,-5.31004631228193,0.32707971282729,-16.234716199246,2.86570212736631e-59,6.60902553123855e-58,"Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
