"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"ABC transporters"	13150.1917337805	-0.40796203058293	0.0809898703079435	-5.03719822036703	4.7239551060502e-07	6.96783378142404e-06	"ABC transporters"
"Atrazine degradation"	201.764569604262	-0.54071643796994	0.10887192937711	-4.96653674701591	6.8159142698668e-07	9.46209275110921e-06	"Atrazine degradation"
"Benzoate degradation"	2167.29527962591	-0.35752321406334	0.0825077146789382	-4.33320951203858	1.46951139380167e-05	0.000108376465292873	"Benzoate degradation"
"Biosynthesis of ansamycins"	335.322623454625	-0.27647756616517	0.069928481716792	-3.95371899085261	7.69457732973203e-05	0.000394765271699295	"Biosynthesis of ansamycins"
"Biosynthesis of type II polyketide products"	64.3737305465208	-1.48156111048889	0.370244549626493	-4.00157439720181	6.29224041066479e-05	0.000329993052648198	"Biosynthesis of type II polyketide products"
"Butirosin and neomycin biosynthesis"	244.491679706735	0.385987869217742	0.0819540161961231	4.70981029525191	2.4794746416535e-06	2.92578007715113e-05	"Butirosin and neomycin biosynthesis"
"Cell division"	348.552243789417	-0.209475060807773	0.0461897955885784	-4.53509391281157	5.75778598623658e-06	5.22629804904551e-05	"Cell division"
"Cellular antigens"	367.159981519493	-0.180185526001321	0.0353520435750677	-5.09689137542243	3.45276313275674e-07	5.82037213807565e-06	"Cellular antigens"
"Chlorocyclohexane and chlorobenzene degradation"	507.94168971972	-0.33544780717969	0.0635583930834511	-5.27778930375494	1.30751677817748e-07	2.37364584346065e-06	"Chlorocyclohexane and chlorobenzene degradation"
"Cyanoamino acid metabolism"	914.324766430061	-0.197386714353774	0.0350793221331271	-5.62686797665831	1.8351107069693e-08	4.33086126844755e-07	"Cyanoamino acid metabolism"
"Drug metabolism - cytochrome P450"	876.605992025176	-0.280900076907456	0.0700388670898121	-4.01063136197295	6.05565969190444e-05	0.000324803565293056	"Drug metabolism - cytochrome P450"
"Endocytosis"	69.0082451882594	-2.13462286286836	0.340866549297145	-6.26234186742547	3.79238379667178e-10	1.2785751085922e-08	"Endocytosis"
"Ethylbenzene degradation"	363.665786633453	-0.353114018389302	0.0791593945561276	-4.46079736169442	8.16552720808505e-06	6.88237293252883e-05	"Ethylbenzene degradation"
"Fc gamma R-mediated phagocytosis"	69.0082451882594	-2.13462286286836	0.340866549297145	-6.26234186742547	3.79238379667178e-10	1.2785751085922e-08	"Fc gamma R-mediated phagocytosis"
"Fluorobenzoate degradation"	444.175585031795	-0.511681427204565	0.0947416146886074	-5.40080965356499	6.63407896080468e-08	1.32457797701973e-06	"Fluorobenzoate degradation"
"Folate biosynthesis"	1572.81136046641	0.0933628437566482	0.0219064850858746	4.2618815109161	2.02712922873378e-05	0.000133365512185573	"Folate biosynthesis"
"Fructose and mannose metabolism"	1624.59085632243	0.225814957520235	0.0486327192610634	4.64327228564059	3.42933922516772e-06	3.85392408161706e-05	"Fructose and mannose metabolism"
"Function unknown"	6217.58470758908	-0.150886002380056	0.0355974388020865	-4.23867579965366	2.24842078001697e-05	0.000143412784887569	"Function unknown"
"G protein-coupled receptors"	64.2530223098589	-1.78137968962906	0.38770753065039	-4.59464815305688	4.33480058763432e-06	4.26255391117374e-05	"G protein-coupled receptors"
"Germination"	74.6299010471431	4.69114384905843	0.402581288158784	11.6526624238138	2.22399996863638e-31	5.24863992598186e-29	"Germination"
"Glutathione metabolism"	1849.28313357913	-0.218745838373918	0.0356446447919047	-6.13684999951514	8.41737943431803e-10	2.48312693312382e-08	"Glutathione metabolism"
"Glyoxylate and dicarboxylate metabolism"	3066.89588051571	-0.178844531434572	0.0391611413374894	-4.56688761681628	4.95019231279355e-06	4.67298154327711e-05	"Glyoxylate and dicarboxylate metabolism"
"GnRH signaling pathway"	69.0082451882594	-2.13462286286836	0.340866549297145	-6.26234186742547	3.79238379667178e-10	1.2785751085922e-08	"GnRH signaling pathway"
"Inorganic ion transport and metabolism"	1457.21229191226	-0.179463637510467	0.043056793828367	-4.16806783677032	3.07192520654457e-05	0.000190782723353821	"Inorganic ion transport and metabolism"
"Lipoic acid metabolism"	339.518414711039	0.208337508668897	0.0517077863152528	4.02913223549548	5.59831223108447e-05	0.000313417041343983	"Lipoic acid metabolism"
"Lysine degradation"	1452.42125823423	-0.126647299162559	0.033894475910234	-3.73651740472315	0.000186586539633552	0.000815452284324412	"Lysine degradation"
"Membrane and intracellular structural molecules"	2498.17387067226	-0.24589590459358	0.0455523309204807	-5.39809708141683	6.73514225603253e-08	1.32457797701973e-06	"Membrane and intracellular structural molecules"
"Metabolism of xenobiotics by cytochrome P450"	834.149129223888	-0.297848214884202	0.0718659308598209	-4.14449811364962	3.40558759566406e-05	0.000206081710917107	"Metabolism of xenobiotics by cytochrome P450"
"Non-homologous end-joining"	255.608563460095	-0.367001571831327	0.0960449823464311	-3.82114258199939	0.0001328348227142	0.000602865733856754	"Non-homologous end-joining"
"One carbon pool by folate"	1562.96491706129	0.0794240832450318	0.020501895514194	3.87398731936979	0.000107068986235113	0.000508317121220814	"One carbon pool by folate"
"Other ion-coupled transporters"	3659.38713795528	-0.17140621153024	0.0458176176806322	-3.74105464681758	0.000183249667287383	0.000815452284324412	"Other ion-coupled transporters"
"Phenylalanine metabolism"	1617.66845624236	-0.265005447399324	0.0415221096463047	-6.38227319509303	1.74478330748934e-10	1.02942215141871e-08	"Phenylalanine metabolism"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	2647.13396400626	0.0831749421929041	0.0223571301429512	3.72028706998995	0.000198996456563039	0.000853875704525042	"Phenylalanine, tyrosine and tryptophan biosynthesis"
"Phosphonate and phosphinate metabolism"	269.856248782787	-0.272004624004671	0.0702388117456363	-3.87256870161346	0.000107694305343393	0.000508317121220814	"Phosphonate and phosphinate metabolism"
"Phosphotransferase system (PTS)"	478.824225504059	0.45432007714307	0.10048998365464	4.52104837338274	6.15341235117259e-06	5.37853820324715e-05	"Phosphotransferase system (PTS)"
"Photosynthesis"	1069.74313278658	0.132347329052012	0.0324542281868744	4.07796877158637	4.54308667351805e-05	0.00026150450120738	"Photosynthesis"
"Polycyclic aromatic hydrocarbon degradation"	339.405786375682	-0.469284395651291	0.102112510640928	-4.59575807808214	4.31178741283156e-06	4.26255391117374e-05	"Polycyclic aromatic hydrocarbon degradation"
"Pores ion channels"	1623.18706227707	-0.236662646272333	0.0486255244577238	-4.86704562905216	1.13278882337381e-06	1.48521201286789e-05	"Pores ion channels"
"Protein export"	1938.62716622712	0.115184944679363	0.0293537736408632	3.92402510452744	8.70816549665125e-05	0.000437261076002063	"Protein export"
"Ribosome"	6466.01613045377	0.147574675012859	0.0359775227055817	4.10185760205119	4.09846483968233e-05	0.000241809425541258	"Ribosome"
"RNA polymerase"	561.32014066191	0.196791244454868	0.0322715762919555	6.09797434976621	1.07420977865241e-09	2.81681675291076e-08	"RNA polymerase"
"Sporulation"	270.181482749703	1.50819964629372	0.156708817446054	9.62421688117777	6.31863812804923e-22	7.45599299109809e-20	"Sporulation"
"Styrene degradation"	548.237593319998	-0.386908048675617	0.0908004079427095	-4.26108271363424	2.03438916893248e-05	0.000133365512185573	"Styrene degradation"
"Sulfur relay system"	1238.39143316773	0.14467273816886	0.0314751169369306	4.59641622487864	4.29819673996313e-06	4.26255391117374e-05	"Sulfur relay system"
"Synthesis and degradation of ketone bodies"	774.311247371243	-0.220251750584559	0.0503833029995662	-4.37152265675108	1.23383043854901e-05	9.70613278325222e-05	"Synthesis and degradation of ketone bodies"
"Thiamine metabolism"	1016.2067958811	0.116065078336325	0.0297571720345703	3.90040687339128	9.60311609789418e-05	0.000472153208146464	"Thiamine metabolism"
"Toluene degradation"	854.609140503793	-0.122182584518148	0.0317162947923558	-3.85235997199761	0.000116984876654037	0.000541341782163781	"Toluene degradation"
"Transcription factors"	5166.20070895415	-0.181571236568156	0.0451168936957439	-4.02446227332545	5.71056473635224e-05	0.000313417041343983	"Transcription factors"
"Transcription machinery"	2763.89401305103	0.17510557321232	0.0270276247810727	6.47876291870623	9.24776767845019e-11	7.27491057371415e-09	"Transcription machinery"
"Translation factors"	1590.29037165376	0.101912616972846	0.023396610361233	4.3558710171842	1.32538809458405e-05	0.000100900513007043	"Translation factors"
"Transporters"	21500.8213485808	-0.323851261230842	0.0733107706886581	-4.41751270909699	9.98432015796017e-06	8.12517088716759e-05	"Transporters"
"Tryptophan metabolism"	1873.66347638198	-0.177839714414887	0.0369709764136638	-4.81025203189279	1.50740103909869e-06	1.87235076435416e-05	"Tryptophan metabolism"
"Tyrosine metabolism"	1584.73973773683	-0.202111097043142	0.039893457100363	-5.06627180829869	4.05682538990037e-07	6.38273861344325e-06	"Tyrosine metabolism"
"Ubiquitin system"	177.637056556136	0.516124401391176	0.120581766555181	4.28028561975816	1.8665361074094e-05	0.000133365512185573	"Ubiquitin system"
"Valine, leucine and isoleucine degradation"	3171.55016973347	-0.148612850939874	0.034857527665713	-4.26343636201298	2.01306850976246e-05	0.000133365512185573	"Valine, leucine and isoleucine degradation"
