"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"AKR1A1, adh; alcohol dehydrogenase (NADP+) "	2.08296271767538	1.42757271975588	0.262216108970276	5.44426017669917	5.20211383273197e-08	3.14012457579194e-07	"AKR1A1, adh; alcohol dehydrogenase (NADP+) "
"dalD; D-arabinitol 4-dehydrogenase "	25.9179720346775	-2.63630901805122	0.342494936255455	-7.69736641036025	1.38899179044507e-14	2.71188673017242e-13	"dalD; D-arabinitol 4-dehydrogenase "
"mtlD; mannitol-1-phosphate 5-dehydrogenase "	4.38458011255698	0.768203114424327	0.21348265613127	3.59843337321024	0.000320139840108839	0.000944571013390437	"mtlD; mannitol-1-phosphate 5-dehydrogenase "
"aroE; shikimate dehydrogenase "	326.675074319681	-0.690572859449563	0.175831632733377	-3.92746656966278	8.58453486693044e-05	0.000284243487816141	"aroE; shikimate dehydrogenase "
"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "	156.861658336229	-0.676150668371863	0.177583202484719	-3.80751478130397	0.000140370351433747	0.000448266739885998	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "
"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) "	3.86412071391933	0.761834487777863	0.204333998619138	3.7283785024824	0.000192715781490474	0.000600899720880725	"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) "
"phbB; acetoacetyl-CoA reductase "	92.8064851081767	-0.912566512839875	0.214046509092177	-4.26340292448725	2.01336991009214e-05	7.43620380361494e-05	"phbB; acetoacetyl-CoA reductase "
"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) "	251.558916093254	-1.25647970480534	0.199165666687071	-6.30871638523682	2.81359159107121e-10	2.51667544844316e-09	"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) "
"E1.1.1.43; phosphogluconate 2-dehydrogenase "	9.64555473174195	-2.27339175746179	0.303386442672887	-7.49338611650809	6.71190728324611e-14	1.18021177135837e-12	"E1.1.1.43; phosphogluconate 2-dehydrogenase "
"gal; D-galactose 1-dehydrogenase "	33.524418360382	-2.1490594885651	0.26037065742964	-8.25384668833447	1.5337608405388e-16	4.09629899958993e-15	"gal; D-galactose 1-dehydrogenase "
