"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"mvaA; hydroxymethylglutaryl-CoA reductase "	35.529266952501	-2.9911605643953	0.707796921209752	-4.22601522380582	2.37865906069071e-05	0.000755132764882351	"mvaA; hydroxymethylglutaryl-CoA reductase "
"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"	105.179210562896	-3.40847070469617	0.79998054161257	-4.26069201361511	2.03794909020705e-05	0.000714866596550652	"K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit"
"K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"	80.4819401582214	-3.25783286451386	0.785241311831721	-4.14883019452245	3.34178569568233e-05	0.000971235884935279	"K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit"
"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A "	28.6670804753327	-3.44839208264485	0.796843608256803	-4.32756446423489	1.50767226267441e-05	0.000606990065142164	"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A "
"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B "	28.6670804753327	-3.44839208264485	0.796843608256803	-4.32756446423489	1.50767226267441e-05	0.000606990065142164	"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B "
"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C "	28.6670804753327	-3.44839208264485	0.796843608256803	-4.32756446423489	1.50767226267441e-05	0.000606990065142164	"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C "
"E1.3.1.12; prephenate dehydrogenase "	26.5555958591282	-3.72140354117063	0.816459141473415	-4.55797890198747	5.16482241709745e-06	0.000381399343031021	"E1.3.1.12; prephenate dehydrogenase "
"nirA; ferredoxin-nitrite reductase "	26.9383471249712	-3.69152033314105	0.808754077870758	-4.56445344035837	5.0079732494722e-06	0.000381399343031021	"nirA; ferredoxin-nitrite reductase "
"SUOX; sulfite oxidase "	30.0312123598046	-3.73289611513534	0.869675422855267	-4.2922865439611	1.76842526986897e-05	0.000657503701689121	"SUOX; sulfite oxidase "
"TYR; tyrosinase "	27.5311868901972	-3.49240108006828	0.813260100461487	-4.29432241676003	1.75227672308629e-05	0.000657422366925194	"TYR; tyrosinase "
"GATM; glycine amidinotransferase "	26.5248832458805	-3.73153368510161	0.823347163487094	-4.53215101792247	5.83860834828546e-06	0.000381399343031021	"GATM; glycine amidinotransferase "
"ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase "	28.6670804753327	-3.44839208264485	0.796843608256803	-4.32756446423489	1.50767226267441e-05	0.000606990065142164	"ftr; formylmethanofuran--tetrahydromethanopterin N-formyltransferase "
"UGCG; ceramide glucosyltransferase "	53.4562589357699	-3.68048650570047	0.871775753698631	-4.22182710414403	2.42329963959455e-05	0.000757648303985358	"UGCG; ceramide glucosyltransferase "
"mtaP, MTAP; 5-methylthioadenosine phosphorylase "	38.0663104439775	-3.54211006373451	0.786614045788521	-4.50298349323754	6.70060900434167e-06	0.000382012195739749	"mtaP, MTAP; 5-methylthioadenosine phosphorylase "
"AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase "	28.6418353971392	-3.50647736660119	0.786836299624471	-4.45642552113407	8.33375355046753e-06	0.000424609887688636	"AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase "
