"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"ABC transporters"	13150.1917337805	0.380717934824698	0.0788366505192172	4.8291997734213	1.37082827152018e-06	2.69596226732302e-06	"ABC transporters"
"Alanine, aspartate and glutamate metabolism"	2988.13926728675	-0.0802234300835149	0.019576607065231	-4.09792308831675	4.16873738509863e-05	7.45319714305512e-05	"Alanine, aspartate and glutamate metabolism"
"alpha-Linolenic acid metabolism"	225.698070551638	0.799512502707881	0.0978632420020928	8.16969156499827	3.09178882432204e-16	1.30296814739286e-15	"alpha-Linolenic acid metabolism"
"Amino acid metabolism"	472.207174997883	-0.292367839296462	0.0486115536432914	-6.01436937074342	1.80588320326168e-09	4.48619406283955e-09	"Amino acid metabolism"
"Amino acid related enzymes"	4542.47300266111	-0.238189738227929	0.0235799409687159	-10.1013712690775	5.44750601181318e-24	4.76152377328856e-23	"Amino acid related enzymes"
"Amino sugar and nucleotide sugar metabolism"	3292.9260011579	-0.401571288263481	0.0430144911657941	-9.33572099494734	1.00306207968139e-20	7.17341366075179e-20	"Amino sugar and nucleotide sugar metabolism"
"Aminoacyl-tRNA biosynthesis"	3367.47758514247	-0.308177676699146	0.0265814268878646	-11.5937221127824	4.43434727333673e-31	6.54066222817168e-30	"Aminoacyl-tRNA biosynthesis"
"Aminobenzoate degradation"	1233.4997761625	0.539560730273951	0.0632766251753062	8.52701497241853	1.50172438573068e-17	7.23279500066204e-17	"Aminobenzoate degradation"
"Apoptosis"	100.71806840786	1.80466762544291	0.180871484400154	9.97762378866931	1.90985678524609e-23	1.60973643327885e-22	"Apoptosis"
"Arachidonic acid metabolism"	397.758427193024	0.210204135072961	0.0387070841961283	5.43063729646644	5.61531585690851e-08	1.21579315800955e-07	"Arachidonic acid metabolism"
"Arginine and proline metabolism"	4075.82837832318	0.157071712766067	0.0333010624195142	4.71671776675881	2.39679808222052e-06	4.59873453174018e-06	"Arginine and proline metabolism"
"Ascorbate and aldarate metabolism"	816.90042646023	0.205835529252077	0.0434202372492616	4.74054363338554	2.13145542386387e-06	4.12314327894978e-06	"Ascorbate and aldarate metabolism"
"Atrazine degradation"	201.764569604262	1.22264232190537	0.10805974052771	11.3145035878728	1.11230094063826e-29	1.38159485258225e-28	"Atrazine degradation"
"Basal transcription factors"	87.6798620915401	0.828130354361815	0.190743016435351	4.34160248609939	1.41447272932985e-05	2.58771755133213e-05	"Basal transcription factors"
"Benzoate degradation"	2167.29527962591	0.987592078024139	0.0809088176247496	12.2062354514255	2.87904958717118e-34	5.66213085476999e-33	"Benzoate degradation"
"beta-Alanine metabolism"	1388.99210697451	0.284913730809417	0.0524103220476859	5.43621408298514	5.44245591081986e-08	1.18927740273471e-07	"beta-Alanine metabolism"
"beta-Lactam resistance"	79.0740192516159	1.57732420687299	0.256696359316915	6.14470813326045	8.01106822335887e-10	2.10068011190299e-09	"beta-Lactam resistance"
"Bile secretion"	69.916978396252	-2.04804081250221	0.335438538279196	-6.10556205917389	1.02439540636409e-09	2.62779691197744e-09	"Bile secretion"
