"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"Aldosterone-regulated sodium reabsorption"	63.1159622047399	1.53236231264213	0.418018594513231	3.66577547686968	0.000246590204564473	0.00060620091955433	"Aldosterone-regulated sodium reabsorption"
"alpha-Linolenic acid metabolism"	225.698070551638	0.506137393752796	0.102295392616966	4.9478024454921	7.50560270506053e-07	2.90380694818735e-06	"alpha-Linolenic acid metabolism"
"Amino acid related enzymes"	4542.47300266111	-0.168052203602783	0.0246900054152089	-6.80648710993251	1.00010686639864e-11	9.07789309500301e-11	"Amino acid related enzymes"
"Amino sugar and nucleotide sugar metabolism"	3292.9260011579	-0.267363716333222	0.0450836639521524	-5.93039014346697	3.02215726405255e-09	1.82879260081129e-08	"Amino sugar and nucleotide sugar metabolism"
"Aminoacyl-tRNA biosynthesis"	3367.47758514247	-0.219352366759509	0.0278303395312151	-7.88177113374701	3.22772824592155e-15	5.44102761455348e-14	"Aminoacyl-tRNA biosynthesis"
"Aminobenzoate degradation"	1233.4997761625	0.338281119218176	0.0662970591600731	5.10250565415583	3.35185729362812e-07	1.36385917464869e-06	"Aminobenzoate degradation"
"Apoptosis"	100.71806840786	1.20461950012992	0.188536565176897	6.38931497982724	1.66630514901535e-10	1.12356575762178e-09	"Apoptosis"
"Arachidonic acid metabolism"	397.758427193024	0.150067339895955	0.0403271747542568	3.72124605332325	0.000198242159547077	0.000525675838798992	"Arachidonic acid metabolism"
"Atrazine degradation"	201.764569604262	0.681925883935432	0.11284479015051	6.04304268744613	1.51234619695542e-09	9.64631628328319e-09	"Atrazine degradation"
"Benzoate degradation"	2167.29527962591	0.630068863960799	0.0848553232874714	7.42521316931717	1.12598422876307e-13	1.66082673742552e-12	"Benzoate degradation"
"beta-Lactam resistance"	79.0740192516159	1.98003911907122	0.269421778114983	7.34921702664357	1.99371250244826e-13	2.61397861432105e-12	"beta-Lactam resistance"
"Bile secretion"	69.916978396252	-1.87618705162521	0.350463364559109	-5.35344701146009	8.62943137847523e-08	4.15621592922481e-07	"Bile secretion"
"Biosynthesis of type II polyketide products"	64.3737305465208	-1.4403062145156	0.383793584297126	-3.75281472501256	0.000174860092099738	0.000474333123396992	"Biosynthesis of type II polyketide products"
"Biotin metabolism"	480.028186748993	-0.413640792991362	0.0645802618727807	-6.40506527840054	1.50305058022729e-10	1.04329393215777e-09	"Biotin metabolism"
"Bisphenol degradation"	293.365120212545	0.497521820161739	0.0948761632985333	5.24390745646256	1.5721107465991e-07	7.07713578044995e-07	"Bisphenol degradation"
"Butanoate metabolism"	3190.09380243895	0.17486019078638	0.0355015199012184	4.92542829920863	8.41757731048977e-07	3.20411007302514e-06	"Butanoate metabolism"
"Butirosin and neomycin biosynthesis"	244.491679706735	-0.460078353274844	0.0865135104328493	-5.31799427595706	1.04917368969003e-07	4.8549998189578e-07	"Butirosin and neomycin biosynthesis"
"Caffeine metabolism"	73.6637382905628	1.82497540761622	0.264233852653855	6.90666767065206	4.96170421608826e-12	4.68384877998732e-11	"Caffeine metabolism"
"Caprolactam degradation"	572.634095296594	0.34728849560822	0.0651028783324375	5.33445685511548	9.58309695448841e-08	4.52322176251853e-07	"Caprolactam degradation"
"Cardiac muscle contraction"	63.1159622047399	1.53236231264213	0.418018594513231	3.66577547686968	0.000246590204564473	0.00060620091955433	"Cardiac muscle contraction"
"Carotenoid biosynthesis"	258.460869530165	0.627262914590604	0.132276143770171	4.74207137214756	2.11544065124095e-06	7.56430293474035e-06	"Carotenoid biosynthesis"
"Cell cycle - Caulobacter"	2038.13981156456	-0.320329060813132	0.0494138872854023	-6.48257156865622	9.01722862642558e-11	6.65020611198887e-10	"Cell cycle - Caulobacter"
"Cell motility and secretion"	1062.74347293266	-0.337310565665105	0.04826195342404	-6.98916106236773	2.76534815447357e-12	2.96646438388983e-11	"Cell motility and secretion"
"Chromosome"	4558.37477583935	0.139163170820222	0.0254783518200469	5.46201621687023	4.70757063158895e-08	2.36380142352126e-07	"Chromosome"
"Cytoskeleton proteins"	905.29274971965	0.268037524208659	0.0335174946343512	7.99694389848444	1.27545316371615e-15	2.31543805105393e-14	"Cytoskeleton proteins"
"D-Glutamine and D-glutamate metabolism"	486.159815112178	0.387143894861649	0.0353948870294023	10.9378480157332	7.59820311732103e-28	5.97725311895921e-26	"D-Glutamine and D-glutamate metabolism"
"Dioxin degradation"	258.064479748087	0.674482375299888	0.119913572926323	5.62473754088125	1.85790233772109e-08	1.01968593419111e-07	"Dioxin degradation"
"Drug metabolism - other enzymes"	730.791313807141	0.161376440217552	0.038961896149266	4.14190417220216	3.44434257717089e-05	0.00010695590108057	"Drug metabolism - other enzymes"
"Endocrine and other factor-regulated calcium reabsorption"	63.1159622047399	1.53236231264213	0.418018594513231	3.66577547686968	0.000246590204564473	0.00060620091955433	"Endocrine and other factor-regulated calcium reabsorption"
"Energy metabolism"	2905.72723329499	0.207001204059042	0.0523419168964771	3.95478836719819	7.66024287522324e-05	0.000223187323278109	"Energy metabolism"
"Ethylbenzene degradation"	363.665786633453	0.582486728280741	0.082192636832751	7.08684805265475	1.37200878389958e-12	1.61897036500151e-11	"Ethylbenzene degradation"
"Fatty acid biosynthesis"	2273.65834679336	-0.30016397925125	0.0275653725798429	-10.8891682266157	1.29820500571387e-27	7.65940953371183e-26	"Fatty acid biosynthesis"
"Fatty acid metabolism"	2440.424743613	0.216981280004342	0.0503883290607545	4.30618129334517	1.66096946641326e-05	5.50159654027393e-05	"Fatty acid metabolism"
"Flavone and flavonol biosynthesis"	82.7746751751897	1.00533854197794	0.278094298571137	3.61509943621072	0.000300232361954755	0.000715705428498203	"Flavone and flavonol biosynthesis"
"Fluorobenzoate degradation"	444.175585031795	0.66383467511532	0.0980080680566357	6.77326559209096	1.259075033584e-11	1.10052484416972e-10	"Fluorobenzoate degradation"
"Folate biosynthesis"	1572.81136046641	-0.0900109734782283	0.0231361703936674	-3.89048714401175	0.000100043177481095	0.000281073689113553	"Folate biosynthesis"
"Function unknown"	6217.58470758908	0.307215662349555	0.036761368319916	8.35702468080103	6.43198475700717e-17	1.26495700221141e-15	"Function unknown"
"Galactose metabolism"	1390.43823573538	-0.304829509600224	0.0764819552596678	-3.98563960041662	6.72985956774703e-05	0.000198530857248538	"Galactose metabolism"
"Gastric acid secretion"	63.1159622047399	1.53236231264213	0.418018594513231	3.66577547686968	0.000246590204564473	0.00060620091955433	"Gastric acid secretion"
"General function prediction only"	12415.1778843661	0.17280741064464	0.0308730286363802	5.5973585448953	2.1764230100314e-08	1.16735415992593e-07	"General function prediction only"
"Geraniol degradation"	955.207031119834	0.472810617144185	0.0839755356430135	5.63033761587589	1.79857205426304e-08	1.01062620191923e-07	"Geraniol degradation"
"Glutamatergic synapse"	388.954186129729	0.471729006522552	0.0713225602045656	6.6140223397695	3.74015260295339e-11	3.04371039412759e-10	"Glutamatergic synapse"
"Glycan biosynthesis and metabolism"	306.40937514209	0.320613398997952	0.0786646260227029	4.07569978029797	4.5876176021321e-05	0.000137047816975086	"Glycan biosynthesis and metabolism"
"Glycerolipid metabolism"	1217.48686211268	0.121285345151908	0.0297177966821201	4.08123611751067	4.47968178089127e-05	0.000135539089780813	"Glycerolipid metabolism"
"Glycerophospholipid metabolism"	1886.75733377155	0.122945186455252	0.0246407252007865	4.98951169064326	6.05321111328193e-07	2.38092970455756e-06	"Glycerophospholipid metabolism"
"Inorganic ion transport and metabolism"	1457.21229191226	0.232366731840423	0.0447502754309675	5.1925207074731	2.07465786755377e-07	8.7432010132623e-07	"Inorganic ion transport and metabolism"
"Linoleic acid metabolism"	196.394772382714	1.10997255178162	0.109661193277836	10.121835433337	4.42047134493358e-24	2.08646247480865e-22	"Linoleic acid metabolism"
"Lipid metabolism"	546.85594689832	0.292567952137943	0.0680560457510426	4.29892669944699	1.71627217996433e-05	5.54849636262441e-05	"Lipid metabolism"
"Lysine biosynthesis"	2040.7016808825	-0.0856509097062376	0.0199009367867731	-4.30386321126172	1.67845318177849e-05	5.50159654027393e-05	"Lysine biosynthesis"
"MAPK signaling pathway - yeast"	192.710961368748	0.310959263594684	0.0843039114889667	3.6885508406734	0.000225534963651411	0.000591402793574812	"MAPK signaling pathway - yeast"
"Melanogenesis"	67.8828597793803	1.50897087792736	0.319392576052229	4.72450204252903	2.30679897245662e-06	8.12544115671288e-06	"Melanogenesis"
"Membrane and intracellular structural molecules"	2498.17387067226	0.260723323156057	0.0471445446835509	5.53029676935295	3.19689479413545e-08	1.64014602481732e-07	"Membrane and intracellular structural molecules"
"Methane metabolism"	2931.77336224618	0.271868793908566	0.0283950587515068	9.5745107022939	1.02340739923543e-21	3.45034494599375e-20	"Methane metabolism"
