"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Functional_Group"
"E1.1.1.1, adh; alcohol dehydrogenase "	239.070315118779	1.50209196602113	0.178820003307582	8.40002202347259	4.46394910368412e-17	3.10884130689539e-16	"E1.1.1.1, adh; alcohol dehydrogenase "
"E1.1.1.3; homoserine dehydrogenase "	215.925922528099	0.677886225602035	0.157559246223364	4.30242110095545	1.68941838542013e-05	3.03377319957145e-05	"E1.1.1.3; homoserine dehydrogenase "
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "	48.746864898779	3.3669301078974	0.210404331248429	16.0021901066381	1.23358119479336e-57	5.13568876832354e-56	"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase "
"gldA; glycerol dehydrogenase "	19.2445876558063	3.32254106469182	0.311624390949243	10.6620058031112	1.53255983491445e-26	1.84232564443432e-25	"gldA; glycerol dehydrogenase "
"SORD, gutB; L-iditol 2-dehydrogenase "	116.26522409089	0.83093035953132	0.214190385755174	3.87940082652028	0.000104714082750157	0.000172402191489209	"SORD, gutB; L-iditol 2-dehydrogenase "
"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "	62.5743214665391	1.10579174939166	0.251996348217778	4.3881260867956	1.14331490332574e-05	2.09972396452493e-05	"iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "
"AKR1B; aldehyde reductase "	4.39571410204406	-1.91180775737383	0.261093490124709	-7.32231108657925	2.43736308508983e-13	1.10579725863611e-12	"AKR1B; aldehyde reductase "
"UGDH, ugd; UDPglucose 6-dehydrogenase "	244.714684771316	1.02969406917172	0.1726915136768	5.96262113434733	2.48223506429897e-09	7.39316934984786e-09	"UGDH, ugd; UDPglucose 6-dehydrogenase "
"hisD; histidinol dehydrogenase "	220.136725038718	0.752686675524352	0.156662216308323	4.80451951505019	1.55123571391398e-06	3.23979956185206e-06	"hisD; histidinol dehydrogenase "
"aroE; shikimate dehydrogenase "	326.675074319681	1.33161992505029	0.178691984700737	7.45204060092795	9.19074300142121e-14	4.41373934470288e-13	"aroE; shikimate dehydrogenase "
"hprA; glycerate dehydrogenase "	53.7721024007467	3.64500807725275	0.241868248649697	15.0702214846393	2.5425924447561e-51	8.08772945067924e-50	"hprA; glycerate dehydrogenase "
"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "	156.861658336229	1.36157685342566	0.180325958619444	7.55064253560468	4.331160980453e-14	2.15492385512521e-13	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase "
"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase "	444.133957451917	1.63633435749178	0.1841419068368	8.88626812658143	6.31957414816593e-19	5.04777681328203e-18	"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase "
"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) "	3.86412071391933	-1.36019799913022	0.246580182001715	-5.51625028454541	3.46308973379238e-08	8.9411828877029e-08	"HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) "
