"","Location","Genotype","Block","Sample_Type","Sample_Type_Blanks_differentiated","Inbred_or_Hybrid","R1_Fastq_Name","R2_Fastq_Name","Experiment","Group"
"MMH-2GH-30Z","GH","CML247","1","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-30Z_S53_L001_R1_001.trimmed.fastq.gz","MMH-2GH-30Z_S53_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-39R","GH","Hopi_blue","2","Root","Root","Open_Pollinated","MMH-2GH-39R_S105_L001_R1_001.trimmed.fastq.gz","MMH-2GH-39R_S105_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END4Rb","IH","PH207","0","Root","Root","Inbred","END4Rb_S260_L001_R1_001.fastq.gz","END4Rb_S260_L001_R2_001.fastq.gz","END","Root_END"
"MMH-2GH-1Z","GH","B73xOh43","0","Rhizosphere","Rhizosphere","Hybrid","MMH-2GH-1Z_S24_L001_R1_001.trimmed.fastq.gz","MMH-2GH-1Z_S24_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-15Z","GH","Ph207","0","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-15Z_S38_L001_R1_001.trimmed.fastq.gz","MMH-2GH-15Z_S38_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END9Ka","IH","PH207","1","Stalk","Stalk","Inbred","END9Ka_S268_L001_R1_001.fastq.gz","END9Ka_S268_L001_R2_001.fastq.gz","END","Stalk_END"
"END1Kb","IH","Mo17","0","Stalk","Stalk","Inbred","END1Kb_S254_L001_R1_001.fastq.gz","END1Kb_S254_L001_R2_001.fastq.gz","END","Stalk_END"
"END5Zb","IH","B73","0","Rhizosphere","Rhizosphere","Inbred","END5Zb_S228_L001_R1_001.fastq.gz","END5Zb_S228_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-3Z","GH","Oh43","0","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-3Z_S26_L001_R1_001.trimmed.fastq.gz","MMH-2GH-3Z_S26_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"MMH-2GH-42K","GH","Ph207","2","Stalk","Stalk","Inbred","MMH-2GH-42K_S138_L001_R1_001.trimmed.fastq.gz","MMH-2GH-42K_S138_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-10R","GH","CML247","0","Root","Root","Inbred","MMH-2GH-10R_S79_L001_R1_001.trimmed.fastq.gz","MMH-2GH-10R_S79_L001_R2_001.trimmed.fastq.gz","GH","Root_GH"
"END14Za","IH","903VIP","3","Rhizosphere","Rhizosphere","Hybrid","END14Za_S225_L001_R1_001.fastq.gz","END14Za_S225_L001_R2_001.fastq.gz","END","Rhizosphere_END"
"MMH-2GH-23K","GH","Mo17xPh207","1","Stalk","Stalk","Hybrid","MMH-2GH-23K_S137_L001_R1_001.trimmed.fastq.gz","MMH-2GH-23K_S137_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-5K","GH","B73","0","Stalk","Stalk","Inbred","MMH-2GH-5K_S148_L001_R1_001.trimmed.fastq.gz","MMH-2GH-5K_S148_L001_R2_001.trimmed.fastq.gz","GH","Stalk_GH"
"MMH-2GH-33Z","GH","CML247","2","Rhizosphere","Rhizosphere","Inbred","MMH-2GH-33Z_S56_L001_R1_001.trimmed.fastq.gz","MMH-2GH-33Z_S56_L001_R2_001.trimmed.fastq.gz","GH","Rhizosphere_GH"
"END8Ka","IH","Mo17","1","Stalk","Stalk","Inbred","END8Ka_S206_L001_R1_001.fastq.gz","END8Ka_S206_L001_R2_001.fastq.gz","END","Stalk_END"
"MMH-2GH-BR","Blank","Blank","Blank","Root","Blank-Root","Blank","MMH-2GH-BR_S111_L001_R1_001.trimmed.fastq.gz","MMH-2GH-BR_S111_L001_R2_001.trimmed.fastq.gz","GH","Blank-Root_GH"
