"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5d210d1ac6c6821a5fc6f3f12625664d","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea",NA
"c52fe6dc54055468f6bab47a491e8582","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","uncultured soil archaeon"
"c7231baeff73507a85e4fc825f4e30aa","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"782863267254a4a37c177c513beb1c07","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"578479db35db4cc57e3c327d4b4a92d6","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera",NA
"dd653b49cfe3e2f843a75ce9b8f5585a","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"2e673eaf5c17e19e2265b8f261aed08f","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured archaeon","uncultured archaeon"
"05397610c31062b808935f82fe500fb2","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"e510ff082def07cf57e35e271bfc2952","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","uncultured compost archaeon","uncultured compost archaeon"
"5d96868b4f0183d45d3bafb98f5310c8","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"37a907c96aee3fd7b676dcdb6b3a4ff2","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA,NA
"c626e52c398b04332e7147d4ab6fc849","Bacteria","Patescibacteria","Parcubacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"1ee92000de3eccc0b1726b0457b84888","Bacteria","Patescibacteria","Parcubacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"2494250e99c6941af5449741836635b5","Bacteria","Patescibacteria","Berkelbacteria","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"8f3f8e1a59183d5e2b6a71cb3c2806f6","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"422dce594e9f2c69563fb76ea2b1e19d","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"1b45b8cf69b25884342413cac62d5531","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","Leptolyngbya EcFYyyy-00","uncultured bacterium"
"0d194795ad4169beb37b7d4d68e47c46","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria Incertae Sedis","Unknown Family","EcFYyy-200",NA
"411d329008e5485ee26fe45faf381e14","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Tolypothrix PCC-7601",NA
"feefb5d5f1db59efaa066b5a25b910c3","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Desmonostoc PCC-7422",NA
"311e1299eba3acc4bb7f196ec1307dfc","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","metagenome","metagenome","metagenome"
"9e1a06c2da60d4e448e56d20dc6b78e4","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","metagenome","metagenome","metagenome"
"be877fde574b754e74911da31dc8d0cb","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliaceae","uncultured bacterium","uncultured bacterium"
"a783380aeba365746c90eb51744cbba2","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured Candidatus Dependentiae bacterium","uncultured Candidatus Dependentiae bacterium","uncultured Candidatus Dependentiae bacterium"
"ced8c1760dee77b82bdf2bb66ed7c056","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae",NA,NA
"3050d516ece16a22ab1fbddd0ffd6b7a","Bacteria","Dependentiae","Babeliae","Babeliales","uncultured bacterium","uncultured bacterium","uncultured bacterium"
"3ac6c4f49a0fc769811c26e8196d389e","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","11-24","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"c525b6b8c3562748ab55fa31a4f4f8d5","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","11-24","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"4e303970e5581357fa792d82824b854f","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","11-24","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"d06f8293d7b829285d717bc71f8b41fd","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","11-24","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium","uncultured Acidobacteriales bacterium"
"d7bd0341cc57ec7c606c9ef8ebb83489","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"69aa8ce6fe4bbfbd4df4f1d0608af150","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"9b30ba508fcfe1d7d8229978d582b513","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"3dabff2b2db12292b2e93ea2d3878638","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Tellurimicrobium","Tellurimicrobium multivorans"
"84543a433c538c474a0f1bf2ba9834f1","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae",NA,NA
"c24c7c0b8779541d7a0817ecaf6f5f01","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","uncultured","uncultured Acidobacteriales bacterium"
